id,category,gold,pred,correct,truncated,n_tokens
7f21620f,cryptarithm_deduce,")""/{",[^^,0,0,524
ca85809b,cryptarithm_deduce,%!^&,##&&,0,0,535
2d89386e,cryptarithm_deduce,:,[%,0,0,698
f2a25cf9,cryptarithm_deduce,:!,!&,0,0,561
d7bcb4a6,cryptarithm_deduce,}{,"|%""",0,0,663
be7a9eb1,cryptarithm_deduce,[]`',[[,0,0,639
b2a8384e,cryptarithm_deduce,-$,}$,0,0,621
a26065d4,cryptarithm_deduce,<',@&,0,0,573
a12f00f4,cryptarithm_deduce,$:[,`'}),0,0,766
162ff61a,cryptarithm_deduce,?!,&?,0,0,595
e582df31,cryptarithm_deduce,}@,"]""",0,0,574
56ac76c6,cryptarithm_deduce,>&{,$^^`,0,0,191
23c59364,cryptarithm_deduce,>/,|#,0,0,618
eac0e775,cryptarithm_deduce,<@<(,<@<(),0,0,186
9f8fda8a,cryptarithm_deduce,\#,?<,0,0,570
ae4aef23,cryptarithm_deduce,%<<,`<#,0,0,575
9cc02bc1,cryptarithm_deduce,:#:',:#:',1,0,163
d350828e,cryptarithm_deduce,}!||,{/,0,0,678
bb9dd0ad,cryptarithm_deduce,/^//,#],0,0,566
d23f4166,cryptarithm_deduce,{|)@,|@}),0,0,545
434ca68a,cryptarithm_deduce,%&&,%<$,0,0,594
f80d2e10,cryptarithm_deduce,{)^],)`]@,0,0,569
712fe3e4,cryptarithm_deduce,:#$#,@@$$,0,0,669
23b0eb54,cryptarithm_deduce,]/:),]/:/),0,0,164
d6c03e21,cryptarithm_deduce,&(`#,&(`#,1,0,165
ff0e37ae,cryptarithm_deduce,"%'""`","%'""`",1,0,164
42bde66c,cryptarithm_deduce,>),{>{,0,0,640
dbdbbaa3,cryptarithm_deduce,>'',(>>#,0,0,164
02b8d816,cryptarithm_deduce,>$$>,>>$>,0,0,192
6beb3a1f,cryptarithm_deduce,??,[&[,0,0,733
d29e19a4,cryptarithm_deduce,?|,^},0,0,571
41554020,cryptarithm_deduce,?:,||?,0,0,548
a0db1e75,cryptarithm_deduce,"-""!",(<,0,0,600
10b71e8a,cryptarithm_deduce,#}:,]?><?,0,0,169
f06547b1,cryptarithm_deduce,"[%""",)',0,0,620
191ac967,cryptarithm_deduce,!>,??$},0,0,188
8494aad3,cryptarithm_deduce,"""`#&","])<""",0,0,161
923ac2b5,cryptarithm_deduce,#'<@,2,0,1,7680
dc6c0d49,cryptarithm_deduce,:>?#,#![(),0,0,1289
cd2e20b9,cryptarithm_deduce,||`,1,0,1,7680
cad4b9a7,cryptarithm_deduce,"#""^",((,0,0,553
9346686a,cryptarithm_deduce,:(,(|,0,0,918
3e5c7d9b,cryptarithm_deduce,-(|,$],0,0,559
f7d26b8d,cryptarithm_deduce,/@,},0,0,543
a88f9fe3,cryptarithm_deduce,<],!!},0,0,562
802c3591,cryptarithm_deduce,"`""""""","!#""",0,0,668
f7828fc1,cryptarithm_deduce,"@${""","&""{/",0,0,594
d7662688,cryptarithm_deduce,]&]],"\&""]",0,0,565
3b206148,cryptarithm_deduce,!>?,\!^,0,0,567
1fb37a08,cryptarithm_deduce,$!:,$|<$,0,0,165
1d15b7e6,cryptarithm_deduce,|['{,"$$$""",0,0,664
4de466bf,cryptarithm_deduce,^[,1,0,1,7680
df3262bc,cryptarithm_deduce,]/,$,0,0,526
a1503629,cryptarithm_deduce,@)[[,)),0,0,554
7a5cfe3e,cryptarithm_deduce,-#>,-[',0,0,949
ba7d54c4,cryptarithm_deduce,>((<,)``@,0,0,520
9eaae1f1,cryptarithm_deduce,/\,[|/[,0,0,212
2ff200fb,cryptarithm_deduce,)^,::,0,0,548
9fbd6a44,cryptarithm_deduce,::'',$/?[,0,0,507
9081e954,cryptarithm_deduce,}{#,%{}@,0,0,164
