id,category,gold,pred,correct,truncated,n_tokens
f2a25cf9,cryptarithm_deduce,:!,:!,1,0,114
d7bcb4a6,cryptarithm_deduce,}{,},0,0,108
e582df31,cryptarithm_deduce,}@,@},0,0,122
23c59364,cryptarithm_deduce,>/,>/,1,0,108
9f8fda8a,cryptarithm_deduce,\#,\#,1,0,115
d350828e,cryptarithm_deduce,}!||,}!||,1,0,122
bb9dd0ad,cryptarithm_deduce,/^//,?\],0,0,121
d23f4166,cryptarithm_deduce,{|)@,}}'),0,0,119
434ca68a,cryptarithm_deduce,%&&,%&&,1,0,121
f80d2e10,cryptarithm_deduce,{)^],{)^],1,0,130
23b0eb54,cryptarithm_deduce,]/:),]/:),1,0,118
42bde66c,cryptarithm_deduce,>),>),1,0,110
02b8d816,cryptarithm_deduce,>$$>,>$$>,1,0,125
6beb3a1f,cryptarithm_deduce,??,??,1,0,115
d29e19a4,cryptarithm_deduce,?|,?|,1,0,116
41554020,cryptarithm_deduce,?:,0,0,1,7680
10b71e8a,cryptarithm_deduce,#}:,#}:,1,0,123
f06547b1,cryptarithm_deduce,"[%""",<[,0,0,125
8494aad3,cryptarithm_deduce,"""`#&","""`#@",0,0,132
923ac2b5,cryptarithm_deduce,#'<@,['',0,0,119
dc6c0d49,cryptarithm_deduce,:>?#,:>?#,1,0,127
cad4b9a7,cryptarithm_deduce,"#""^",#^,0,0,121
9346686a,cryptarithm_deduce,:(,:(,1,0,112
f7828fc1,cryptarithm_deduce,"@${""",@$$@,0,0,127
d7662688,cryptarithm_deduce,]&]],]&]],1,0,126
1fb37a08,cryptarithm_deduce,$!:,<!,0,0,105
4de466bf,cryptarithm_deduce,^[,//,0,0,106
9eaae1f1,cryptarithm_deduce,/\,4,0,0,99
a77be9fa,cryptarithm_deduce,"[""","[""",1,0,117
35a562bd,cryptarithm_deduce,(%(?,(%(?,1,0,125
a266aeb5,cryptarithm_deduce,({,(,0,0,116
610bf536,cryptarithm_deduce,^,^,1,0,116
c413ac69,cryptarithm_deduce,"{""]","{""""",0,0,112
d13e92ec,cryptarithm_deduce,?&,?&,1,0,116
38c7aca1,cryptarithm_deduce,!!]{,!!]{,1,0,121
e483e127,cryptarithm_deduce,#''>,#''>,1,0,119
0d2e94ff,cryptarithm_deduce,}}^,|`,0,0,112
f624f57c,cryptarithm_deduce,[,][],0,0,117
d0e1010b,cryptarithm_deduce,!&&},!&&},1,0,122
d2fe9d04,cryptarithm_deduce,)}),})}),0,0,113
289602f1,cryptarithm_deduce,?!,?!,1,0,111
acf8c11f,cryptarithm_deduce,"""'","""'",1,0,107
