id,category,gold,pred,correct,truncated,n_tokens
a897b8bc,bit_manipulation,01111101,11110111,0,0,672
e5ae7b47,bit_manipulation,00000000,00010001,0,0,677
3a7dd604,bit_manipulation,01001010,11101101,0,0,797
124bc762,bit_manipulation,11100010,0010000,0,1,7680
4fb6838e,bit_manipulation,10000101,00101010,0,0,638
b265a4af,bit_manipulation,00100100,01011011,0,0,672
9c9eacbd,bit_manipulation,10000100,10011110,0,0,629
4dbb8138,bit_manipulation,00000000,0110111,0,1,7680
6abc8047,bit_manipulation,00101001,10101001,0,0,661
0f7be6a8,bit_manipulation,01000000,01001000,0,0,652
6a933284,bit_manipulation,00101101,1011000,0,1,7680
7877dd7f,bit_manipulation,11101000,11101000,1,0,1546
0e7a6920,bit_manipulation,00101111,10001001,0,0,665
9d09171e,bit_manipulation,01011111,10001101,0,0,656
823be38e,bit_manipulation,01110100,10001000,0,0,672
dae576ce,bit_manipulation,01000100,01000000,0,0,648
77f17a8f,bit_manipulation,00011111,11111001,0,0,656
34a31822,bit_manipulation,00000000,00000000,1,0,672
d85d7964,bit_manipulation,10101010,01101100,0,0,672
f922f81c,bit_manipulation,00000000,00000000,1,0,700
be9b0c9b,bit_manipulation,00000000,00001101,0,0,671
ce862776,bit_manipulation,01000000,00000000,0,0,672
b80795b4,bit_manipulation,00010000,00001001,0,0,627
a4970d02,bit_manipulation,00000101,10100000,0,0,671
4c06f388,bit_manipulation,00100110,11011101,0,0,672
bf20f12c,bit_manipulation,10110110,00001101,0,0,664
4005e4c7,bit_manipulation,00000000,01000010,0,0,856
0b56b953,bit_manipulation,11000101,01000010,0,0,654
bef8b5ec,bit_manipulation,00000010,00001001,0,0,665
65ab9661,bit_manipulation,00000110,00100000,0,0,671
6c01f1a7,bit_manipulation,11100001,00011111,0,0,797
691c6e38,bit_manipulation,00010000,00001000,0,0,665
73539baa,bit_manipulation,10010110,01010010,0,0,671
1fd84ab1,bit_manipulation,11001110,00111101,0,0,627
573eaca1,bit_manipulation,01011110,01000011,0,0,763
5a9d4664,bit_manipulation,11010001,01001010,0,0,671
2d790c98,bit_manipulation,01111011,11111111,0,0,672
cb7c2230,bit_manipulation,10100000,01001010,0,0,665
dd3d9046,bit_manipulation,10100000,00000000,0,0,625
25705f72,bit_manipulation,11110000,01111000,0,0,655
20c252d7,bit_manipulation,00111111,0010110,0,1,7680
da38592d,bit_manipulation,01001110,1011111,0,1,7680
318ddaa9,bit_manipulation,00000010,00010110,0,0,655
106aeb25,bit_manipulation,10000001,00000000,0,0,665
d5220697,bit_manipulation,11111111,01000000,0,0,665
738f4928,bit_manipulation,10010101,000,0,1,7680
16122fba,bit_manipulation,11000111,110,0,1,7680
3bdb85cf,bit_manipulation,01000100,00010001,0,0,665
07d8149a,bit_manipulation,01000000,00111111,0,0,634
99ff46bb,bit_manipulation,11100101,01011011,0,0,672
47998fb4,bit_manipulation,00111100,11000110,0,0,629
e5b3f73b,bit_manipulation,10111011,100,0,1,7680
18ab3864,bit_manipulation,10100000,00001110,0,0,665
af58b824,bit_manipulation,10110000,11011101,0,0,664
1d08947a,bit_manipulation,10010100,10010101,0,0,627
629b09d1,bit_manipulation,00111010,10000000,0,0,671
a898cbc4,bit_manipulation,01010000,01011110,0,0,656
d5a28743,bit_manipulation,00000011,00001000,0,0,638
b8722d19,bit_manipulation,00100100,01000010,0,0,629
8b12ff37,bit_manipulation,10000000,00000000,0,0,665
7cc61ea9,bit_manipulation,10100101,00001101,0,0,672
6d9ff2a3,bit_manipulation,00110010,01101101,0,0,672
59c78e51,bit_manipulation,00000000,00011011,0,0,720
cc861605,bit_manipulation,00000101,01111101,0,0,634
6bef21ca,bit_manipulation,01111101,01011001,0,0,776
d01aeeda,bit_manipulation,01101111,00110111,0,0,672
cf5b4ab4,bit_manipulation,11101100,001,0,1,7680
59bee375,bit_manipulation,10010101,11110110,0,0,640
93955d17,bit_manipulation,10000100,10101101,0,0,1529
4575c0a2,bit_manipulation,10011010,00101111,0,0,679
9121e150,bit_manipulation,11111001,100,0,1,7680
716998e8,bit_manipulation,10010000,00000100,0,0,664
d8d3648f,bit_manipulation,01100100,01011000,0,1,7680
ab064b6a,bit_manipulation,11111111,00000000,0,0,678
b9734394,bit_manipulation,00000010,00000101,0,0,675
6f7a9048,bit_manipulation,00101000,10000000,0,0,672
d2d230d5,bit_manipulation,01100000,01100000,1,0,707
0df8306a,bit_manipulation,10000000,01000001,0,0,677
bf98d26a,bit_manipulation,00101110,01011100,0,0,664
ba73cc70,bit_manipulation,00011101,01111110,0,0,655
b91855fd,bit_manipulation,00110000,11101000,0,0,672
24f44584,bit_manipulation,11111011,001,0,1,7680
314d28a0,bit_manipulation,00101000,11111110,0,0,658
a94232ca,bit_manipulation,10000011,01111100,0,0,625
