id,category,gold,pred,correct,truncated,n_tokens
a897b8bc,bit_manipulation,01111101,0,0,1,7680
e5ae7b47,bit_manipulation,00000000,01001100,0,0,2131
3a7dd604,bit_manipulation,01001010,00010000,0,0,2310
124bc762,bit_manipulation,11100010,10111000,0,0,2652
4fb6838e,bit_manipulation,10000101,00011101,0,0,1654
b265a4af,bit_manipulation,00100100,01100001,0,1,7680
9c9eacbd,bit_manipulation,10000100,10000100,1,0,1425
4dbb8138,bit_manipulation,00000000,00000000,1,0,2038
6abc8047,bit_manipulation,00101001,01100001,0,0,1344
0f7be6a8,bit_manipulation,01000000,01000000,1,0,972
6a933284,bit_manipulation,00101101,1111101,0,1,7680
7877dd7f,bit_manipulation,11101000,00010111,0,0,2277
0e7a6920,bit_manipulation,00101111,0,0,1,7680
9d09171e,bit_manipulation,01011111,10100001,0,0,2628
823be38e,bit_manipulation,01110100,11110,0,1,7680
dae576ce,bit_manipulation,01000100,11010011,0,0,2002
77f17a8f,bit_manipulation,00011111,7,0,1,7680
34a31822,bit_manipulation,00000000,00000010,0,0,1205
d85d7964,bit_manipulation,10101010,01001010,0,0,2247
f922f81c,bit_manipulation,00000000,11111111,0,0,1762
be9b0c9b,bit_manipulation,00000000,00000000,1,0,1724
ce862776,bit_manipulation,01000000,11000111,0,0,1949
b80795b4,bit_manipulation,00010000,00010000,1,0,1320
a4970d02,bit_manipulation,00000101,0001000,0,1,7680
4c06f388,bit_manipulation,00100110,00100111,0,0,3537
bf20f12c,bit_manipulation,10110110,01000000,0,0,1851
4005e4c7,bit_manipulation,00000000,01001000,0,0,1601
0b56b953,bit_manipulation,11000101,10001000,0,0,1764
bef8b5ec,bit_manipulation,00000010,00000010,1,0,1475
65ab9661,bit_manipulation,00000110,00010000,0,0,1907
6c01f1a7,bit_manipulation,11100001,1,0,1,7680
691c6e38,bit_manipulation,00010000,00010000,1,0,1822
73539baa,bit_manipulation,10010110,01001101,0,0,3800
1fd84ab1,bit_manipulation,11001110,01101111,0,0,1619
573eaca1,bit_manipulation,01011110,10100,0,1,7680
5a9d4664,bit_manipulation,11010001,11010001,1,0,1948
2d790c98,bit_manipulation,01111011,01111011,1,0,2298
cb7c2230,bit_manipulation,10100000,011111100,0,1,7680
dd3d9046,bit_manipulation,10100000,00000100,0,0,1340
25705f72,bit_manipulation,11110000,6,0,1,7680
20c252d7,bit_manipulation,00111111,0,0,1,7680
da38592d,bit_manipulation,01001110,00000010,0,0,1821
318ddaa9,bit_manipulation,00000010,00100101,0,0,1883
106aeb25,bit_manipulation,10000001,00010000,0,0,1512
d5220697,bit_manipulation,11111111,11010101,0,0,4536
738f4928,bit_manipulation,10010101,00101000,0,0,2005
16122fba,bit_manipulation,11000111,10110101,0,0,1934
3bdb85cf,bit_manipulation,01000100,00100110,0,0,2343
07d8149a,bit_manipulation,01000000,01000000,1,0,1241
99ff46bb,bit_manipulation,11100101,01011010,0,0,1454
47998fb4,bit_manipulation,00111100,00000100,0,0,1736
e5b3f73b,bit_manipulation,10111011,01001000,0,0,2350
18ab3864,bit_manipulation,10100000,00100000,0,0,2120
af58b824,bit_manipulation,10110000,00000000,0,0,2334
1d08947a,bit_manipulation,10010100,4,0,1,7680
629b09d1,bit_manipulation,00111010,00010101,0,0,1907
a898cbc4,bit_manipulation,01010000,10101000,0,0,1659
d5a28743,bit_manipulation,00000011,00010100,0,0,1479
b8722d19,bit_manipulation,00100100,0000000,0,1,7680
8b12ff37,bit_manipulation,10000000,2,0,1,7680
7cc61ea9,bit_manipulation,10100101,10100001,0,0,3888
6d9ff2a3,bit_manipulation,00110010,00110010,1,0,1055
59c78e51,bit_manipulation,00000000,11010100,0,1,7680
cc861605,bit_manipulation,00000101,00000101,1,0,1074
6bef21ca,bit_manipulation,01111101,01111111,0,0,1379
d01aeeda,bit_manipulation,01101111,01100000,0,0,1907
cf5b4ab4,bit_manipulation,11101100,00010000,0,0,2191
59bee375,bit_manipulation,10010101,01011110,0,0,1440
93955d17,bit_manipulation,10000100,0111111,0,1,7680
4575c0a2,bit_manipulation,10011010,00010101,0,0,2544
9121e150,bit_manipulation,11111001,11111001,1,0,1404
716998e8,bit_manipulation,10010000,01001000,0,0,1533
d8d3648f,bit_manipulation,01100100,0,0,1,7680
ab064b6a,bit_manipulation,11111111,0,0,1,7680
b9734394,bit_manipulation,00000010,00000010,1,0,1111
6f7a9048,bit_manipulation,00101000,00011100,0,0,2110
d2d230d5,bit_manipulation,01100000,00100000,0,0,1400
0df8306a,bit_manipulation,10000000,01000000,0,0,1521
bf98d26a,bit_manipulation,00101110,00001000,0,0,1931
ba73cc70,bit_manipulation,00011101,00011101,1,0,1152
b91855fd,bit_manipulation,00110000,00010000,0,0,1648
24f44584,bit_manipulation,11111011,11,0,1,7680
314d28a0,bit_manipulation,00101000,00111000,0,0,1794
a94232ca,bit_manipulation,10000011,00110000,0,0,1991
f3cdeb29,bit_manipulation,01101110,10011001,0,0,1822
5f76ba09,bit_manipulation,10010111,0,0,1,7680
e0918834,bit_manipulation,10000111,5,0,1,7680
e5d0d497,bit_manipulation,01101101,01010110,0,0,2649
fd2c352d,bit_manipulation,01010001,01010010,0,0,1424
d50683b4,bit_manipulation,00100110,5,0,1,7680
f2a167e5,bit_manipulation,10101110,11000101,0,0,1942
19f4b3d6,bit_manipulation,00000011,00000011,1,0,1440
1f69a85f,bit_manipulation,10111101,01011110,0,0,1762
a8887238,bit_manipulation,00101000,01000110,0,0,2292
05d58fb3,bit_manipulation,01011101,01010111,0,0,1425
161667cd,bit_manipulation,11000100,10000100,0,0,1748
28feff8e,bit_manipulation,00000000,00000000,1,0,1098
0a6d48aa,bit_manipulation,11100011,11101111,0,0,2139
da616170,bit_manipulation,00010111,00010110,0,0,1764
e641791f,bit_manipulation,00010001,11011101,0,0,2182
0520a6ec,bit_manipulation,10100001,1100100001,0,1,7680
aa3ae31f,bit_manipulation,10011100,00011011,0,0,1822
