id,category,gold,pred,correct,truncated,n_tokens
a897b8bc,bit_manipulation,01111101,01101000,0,0,738
e5ae7b47,bit_manipulation,00000000,11111101,0,0,675
3a7dd604,bit_manipulation,01001010,10011010,0,0,632
124bc762,bit_manipulation,11100010,01010001,0,0,722
4fb6838e,bit_manipulation,10000101,11010000,0,0,644
b265a4af,bit_manipulation,00100100,00000110,0,0,748
9c9eacbd,bit_manipulation,10000100,00110010,0,0,719
4dbb8138,bit_manipulation,00000000,01000011,0,0,721
6abc8047,bit_manipulation,00101001,01100011,0,0,758
0f7be6a8,bit_manipulation,01000000,10000000,0,0,676
6a933284,bit_manipulation,00101101,10101111,0,0,708
7877dd7f,bit_manipulation,11101000,11101000,1,0,506
0e7a6920,bit_manipulation,00101111,00010000,0,0,798
9d09171e,bit_manipulation,01011111,11110111,0,0,713
823be38e,bit_manipulation,01110100,01110100,1,0,653
dae576ce,bit_manipulation,01000100,01001000,0,0,756
77f17a8f,bit_manipulation,00011111,11001110,0,0,643
34a31822,bit_manipulation,00000000,01100110,0,0,837
d85d7964,bit_manipulation,10101010,01101011,0,0,837
f922f81c,bit_manipulation,00000000,00000000,1,0,788
be9b0c9b,bit_manipulation,00000000,00000100,0,0,805
ce862776,bit_manipulation,01000000,01000000,1,0,744
b80795b4,bit_manipulation,00010000,00001010,0,0,715
a4970d02,bit_manipulation,00000101,00000101,1,0,839
4c06f388,bit_manipulation,00100110,00100111,0,0,843
bf20f12c,bit_manipulation,10110110,00101111,0,0,796
4005e4c7,bit_manipulation,00000000,00110000,0,0,435
0b56b953,bit_manipulation,11000101,11111111,0,0,705
bef8b5ec,bit_manipulation,00000010,11010101,0,0,713
65ab9661,bit_manipulation,00000110,00010001,0,0,839
6c01f1a7,bit_manipulation,11100001,00010110,0,0,719
691c6e38,bit_manipulation,00010000,01000111,0,0,796
73539baa,bit_manipulation,10010110,10010011,0,0,744
1fd84ab1,bit_manipulation,11001110,00100010,0,0,720
573eaca1,bit_manipulation,01011110,11111101,0,0,674
5a9d4664,bit_manipulation,11010001,11010001,1,0,747
2d790c98,bit_manipulation,01111011,00100010,0,0,749
cb7c2230,bit_manipulation,10100000,01010101,0,0,721
dd3d9046,bit_manipulation,10100000,00000010,0,0,718
25705f72,bit_manipulation,11110000,11000000,0,0,679
20c252d7,bit_manipulation,00111111,01001010,0,0,569
da38592d,bit_manipulation,01001110,10100110,0,0,647
318ddaa9,bit_manipulation,00000010,00010000,0,0,599
106aeb25,bit_manipulation,10000001,00001001,0,0,797
d5220697,bit_manipulation,11111111,00111101,0,0,793
738f4928,bit_manipulation,10010101,10111111,0,0,680
16122fba,bit_manipulation,11000111,10110000,0,0,746
3bdb85cf,bit_manipulation,01000100,01100110,0,0,801
07d8149a,bit_manipulation,01000000,00111010,0,0,713
99ff46bb,bit_manipulation,11100101,00010101,0,0,835
47998fb4,bit_manipulation,00111100,00100101,0,0,416
e5b3f73b,bit_manipulation,10111011,00110010,0,0,675
18ab3864,bit_manipulation,10100000,01100111,0,0,800
af58b824,bit_manipulation,10110000,01000000,0,0,708
1d08947a,bit_manipulation,10010100,10010100,1,0,417
629b09d1,bit_manipulation,00111010,00011010,0,0,653
a898cbc4,bit_manipulation,01010000,10101001,0,0,716
d5a28743,bit_manipulation,00000011,11101011,0,0,650
b8722d19,bit_manipulation,00100100,11001010,0,0,716
8b12ff37,bit_manipulation,10000000,00001001,0,0,803
7cc61ea9,bit_manipulation,10100101,00000101,0,0,841
6d9ff2a3,bit_manipulation,00110010,00110010,1,0,657
59c78e51,bit_manipulation,00000000,00000010,0,0,514
cc861605,bit_manipulation,00000101,00000101,1,0,641
6bef21ca,bit_manipulation,01111101,01111101,1,0,416
d01aeeda,bit_manipulation,01101111,10000000,0,0,838
cf5b4ab4,bit_manipulation,11101100,11111100,0,0,594
59bee375,bit_manipulation,10010101,10111111,0,0,629
93955d17,bit_manipulation,10000100,01010011,0,0,676
4575c0a2,bit_manipulation,10011010,10011010,1,0,514
9121e150,bit_manipulation,11111001,11111111,0,0,510
716998e8,bit_manipulation,10010000,10111001,0,0,798
d8d3648f,bit_manipulation,01100100,11001101,0,0,671
ab064b6a,bit_manipulation,11111111,11111111,1,0,674
b9734394,bit_manipulation,00000010,01101001,0,0,797
6f7a9048,bit_manipulation,00101000,00101000,1,0,830
d2d230d5,bit_manipulation,01100000,01100000,1,0,497
0df8306a,bit_manipulation,10000000,01000000,0,0,676
bf98d26a,bit_manipulation,00101110,00111100,0,0,806
ba73cc70,bit_manipulation,00011101,00111101,0,0,599
b91855fd,bit_manipulation,00110000,01101111,0,0,834
24f44584,bit_manipulation,11111011,11011011,0,0,672
314d28a0,bit_manipulation,00101000,11111010,0,0,754
a94232ca,bit_manipulation,10000011,11000111,0,0,717
f3cdeb29,bit_manipulation,01101110,11110101,0,0,682
5f76ba09,bit_manipulation,10010111,01101101,0,0,677
e0918834,bit_manipulation,10000111,01000000,0,0,677
e5d0d497,bit_manipulation,01101101,01000010,0,0,747
fd2c352d,bit_manipulation,01010001,01010100,0,0,713
d50683b4,bit_manipulation,00100110,00010100,0,0,793
f2a167e5,bit_manipulation,10101110,10110000,0,0,836
19f4b3d6,bit_manipulation,00000011,01110000,0,0,840
1f69a85f,bit_manipulation,10111101,01001000,0,0,629
a8887238,bit_manipulation,00101000,01100011,0,0,712
05d58fb3,bit_manipulation,01011101,01011010,0,0,804
161667cd,bit_manipulation,11000100,11111010,0,0,712
28feff8e,bit_manipulation,00000000,00001101,0,0,757
0a6d48aa,bit_manipulation,11100011,11100111,0,0,793
da616170,bit_manipulation,00010111,01100100,0,0,716
e641791f,bit_manipulation,00010001,10111011,0,0,751
0520a6ec,bit_manipulation,10100001,10100011,0,0,562
aa3ae31f,bit_manipulation,10011100,10011100,1,0,514
31966698,bit_manipulation,11110111,11110011,0,0,831
35dafdbc,bit_manipulation,01011000,10000000,0,0,793
6a41d37b,bit_manipulation,00101011,01010100,0,0,638
f1c1ed58,bit_manipulation,01111111,10110001,0,0,795
e05e9ed2,bit_manipulation,00000111,00010000,0,0,799
046e8532,bit_manipulation,00011100,01001001,0,0,796
7ed809c8,bit_manipulation,11000000,11000000,1,0,513
3e847951,bit_manipulation,10110010,10101110,0,0,446
7a79ac09,bit_manipulation,11111111,11110011,0,0,758
f8c6ea2c,bit_manipulation,00000000,01110010,0,0,434
70bc42af,bit_manipulation,10101010,01001011,0,0,711
304cc47b,bit_manipulation,00101010,10111011,0,0,796
ef37f544,bit_manipulation,10000000,10101100,0,0,720
67ae4217,bit_manipulation,11101101,01010100,0,0,642
95771a39,bit_manipulation,00000100,01000101,0,0,761
710cf035,bit_manipulation,10000011,10000001,0,0,562
