id,category,gold,pred,correct,truncated,n_tokens
7f21620f,cryptarithm_deduce,")""/{",<^]{,0,0,197
ca85809b,cryptarithm_deduce,%!^&,\%#^,0,0,549
2d89386e,cryptarithm_deduce,:,:/,0,0,628
f2a25cf9,cryptarithm_deduce,:!,)\#,0,0,565
d7bcb4a6,cryptarithm_deduce,}{,{%,0,0,604
be7a9eb1,cryptarithm_deduce,[]`',$@]],0,0,625
b2a8384e,cryptarithm_deduce,-$,"<#""""",0,0,195
a26065d4,cryptarithm_deduce,<',no consistent digit values remain,0,0,701
a12f00f4,cryptarithm_deduce,$:[,\\,0,0,642
162ff61a,cryptarithm_deduce,?!,>[,0,0,606
e582df31,cryptarithm_deduce,}@,/@,0,0,566
56ac76c6,cryptarithm_deduce,>&{,{^&,0,0,519
23c59364,cryptarithm_deduce,>/,}||,0,0,748
eac0e775,cryptarithm_deduce,<@<(,<(<@,0,0,190
9f8fda8a,cryptarithm_deduce,\#,"'""",0,0,590
ae4aef23,cryptarithm_deduce,%<<,!%%&,0,0,530
9cc02bc1,cryptarithm_deduce,:#:',:#:',1,0,171
d350828e,cryptarithm_deduce,}!||,":<>""",0,0,593
bb9dd0ad,cryptarithm_deduce,/^//,">""*/",0,0,665
d23f4166,cryptarithm_deduce,{|)@,'|{{,0,0,511
434ca68a,cryptarithm_deduce,%&&,]@>%,0,0,191
f80d2e10,cryptarithm_deduce,{)^],]`)),0,0,507
712fe3e4,cryptarithm_deduce,:#$#,* *,0,0,529
23b0eb54,cryptarithm_deduce,]/:),]/:),1,0,162
d6c03e21,cryptarithm_deduce,&(`#,&(`#,1,0,162
ff0e37ae,cryptarithm_deduce,"%'""`","%'""`",1,0,164
42bde66c,cryptarithm_deduce,>),#<#/,0,0,194
dbdbbaa3,cryptarithm_deduce,>'',0,0,1,7680
02b8d816,cryptarithm_deduce,>$$>,>$>$,0,0,188
6beb3a1f,cryptarithm_deduce,??,[/,0,0,566
d29e19a4,cryptarithm_deduce,?|,::?,0,0,623
41554020,cryptarithm_deduce,?:,&?,0,0,564
a0db1e75,cryptarithm_deduce,"-""!",??,0,0,651
10b71e8a,cryptarithm_deduce,#}:,]?>?,0,0,193
