id,category,gold,pred,correct,truncated,n_tokens
a897b8bc,bit_manipulation,01111101,110,0,1,7680
e5ae7b47,bit_manipulation,00000000,00000000,1,0,1750
3a7dd604,bit_manipulation,01001010,01001010,1,0,1536
124bc762,bit_manipulation,11100010,01100000,0,0,1887
4fb6838e,bit_manipulation,10000101,00000101,0,0,1236
b265a4af,bit_manipulation,00100100,5,0,1,7680
9c9eacbd,bit_manipulation,10000100,11010000,0,0,1221
4dbb8138,bit_manipulation,00000000,00000000,1,0,1593
6abc8047,bit_manipulation,00101001,00101001,1,0,1225
0f7be6a8,bit_manipulation,01000000,01000000,1,0,972
6a933284,bit_manipulation,00101101,00101101,1,0,1063
7877dd7f,bit_manipulation,11101000,3,0,1,7680
0e7a6920,bit_manipulation,00101111,00101111,1,0,1580
9d09171e,bit_manipulation,01011111,1,0,1,7680
823be38e,bit_manipulation,01110100,01110100,1,0,1209
dae576ce,bit_manipulation,01000100,0100110,0,1,7680
77f17a8f,bit_manipulation,00011111,01000001,0,0,1477
34a31822,bit_manipulation,00000000,00000000,1,0,1159
d85d7964,bit_manipulation,10101010,10101010,1,0,1234
f922f81c,bit_manipulation,00000000,00000000,1,0,1174
be9b0c9b,bit_manipulation,00000000,00000000,1,0,1671
ce862776,bit_manipulation,01000000,01000000,1,0,1215
b80795b4,bit_manipulation,00010000,00010000,1,0,1078
a4970d02,bit_manipulation,00000101,1110110001,0,1,7680
4c06f388,bit_manipulation,00100110,00100110,1,0,1822
bf20f12c,bit_manipulation,10110110,00000100,0,1,7680
4005e4c7,bit_manipulation,00000000,01000000,0,0,1457
0b56b953,bit_manipulation,11000101,01011100,0,0,1542
bef8b5ec,bit_manipulation,00000010,00000010,1,0,1832
65ab9661,bit_manipulation,00000110,00101100,0,0,2487
6c01f1a7,bit_manipulation,11100001,11100001,1,0,1030
691c6e38,bit_manipulation,00010000,00010000,1,0,1432
73539baa,bit_manipulation,10010110,10010110,1,0,1198
1fd84ab1,bit_manipulation,11001110,01011010,0,0,1985
573eaca1,bit_manipulation,01011110,01011110,1,0,1128
5a9d4664,bit_manipulation,11010001,11010001,1,0,1184
2d790c98,bit_manipulation,01111011,01111011,1,0,1880
cb7c2230,bit_manipulation,10100000,0,0,1,7680
dd3d9046,bit_manipulation,10100000,0000101,0,1,7680
25705f72,bit_manipulation,11110000,00011010,0,0,1749
20c252d7,bit_manipulation,00111111,00111111,1,0,1101
da38592d,bit_manipulation,01001110,00111110,0,0,1692
318ddaa9,bit_manipulation,00000010,00000000,0,0,3109
106aeb25,bit_manipulation,10000001,10000001,1,0,1149
d5220697,bit_manipulation,11111111,11010001,0,0,1350
738f4928,bit_manipulation,10010101,0,0,1,7680
16122fba,bit_manipulation,11000111,11000101,0,0,1532
3bdb85cf,bit_manipulation,01000100,111100111,0,1,7680
07d8149a,bit_manipulation,01000000,01000000,1,0,1542
99ff46bb,bit_manipulation,11100101,11100101,1,0,1228
47998fb4,bit_manipulation,00111100,00111100,1,0,1046
e5b3f73b,bit_manipulation,10111011,00010101,0,0,1770
18ab3864,bit_manipulation,10100000,10100000,1,0,1152
af58b824,bit_manipulation,10110000,10110000,1,0,1116
1d08947a,bit_manipulation,10010100,0,0,1,7680
629b09d1,bit_manipulation,00111010,00111010,1,0,1184
a898cbc4,bit_manipulation,01010000,01010000,1,0,1764
d5a28743,bit_manipulation,00000011,0,0,1,7680
b8722d19,bit_manipulation,00100100,0,0,1,7680
8b12ff37,bit_manipulation,10000000,10000000,1,0,1164
7cc61ea9,bit_manipulation,10100101,5,0,1,7680
6d9ff2a3,bit_manipulation,00110010,00110010,1,0,1055
59c78e51,bit_manipulation,00000000,10001101,0,0,4551
cc861605,bit_manipulation,00000101,00000101,1,0,1074
6bef21ca,bit_manipulation,01111101,01111101,1,0,1016
d01aeeda,bit_manipulation,01101111,01101111,1,0,1712
cf5b4ab4,bit_manipulation,11101100,1111100,0,1,7680
59bee375,bit_manipulation,10010101,10010101,1,0,1486
93955d17,bit_manipulation,10000100,4,0,1,7680
