id,category,gold,pred,correct,truncated,n_tokens
7f21620f,cryptarithm_deduce,")""/{",{!,0,0,503
ca85809b,cryptarithm_deduce,%!^&,!&`],0,0,477
2d89386e,cryptarithm_deduce,:,-{:,0,0,607
f2a25cf9,cryptarithm_deduce,:!,`:,0,0,553
d7bcb4a6,cryptarithm_deduce,}{,>>,0,0,554
be7a9eb1,cryptarithm_deduce,[]`',?][],0,0,169
b2a8384e,cryptarithm_deduce,-$,>}>,0,0,554
a26065d4,cryptarithm_deduce,<',[<,0,0,490
a12f00f4,cryptarithm_deduce,$:[,)),0,0,611
162ff61a,cryptarithm_deduce,?!,1,0,1,7680
e582df31,cryptarithm_deduce,}@,##',0,0,583
56ac76c6,cryptarithm_deduce,>&{,130,0,0,534
23c59364,cryptarithm_deduce,>/,`}>',0,0,572
eac0e775,cryptarithm_deduce,<@<(,^@`,0,0,528
9f8fda8a,cryptarithm_deduce,\#,<\)!\,0,0,199
ae4aef23,cryptarithm_deduce,%<<,[^,0,0,528
9cc02bc1,cryptarithm_deduce,:#:',::`,0,0,519
d350828e,cryptarithm_deduce,}!||,"""{>|",0,0,533
bb9dd0ad,cryptarithm_deduce,/^//,\>`,0,0,511
d23f4166,cryptarithm_deduce,{|)@,'){|,0,0,544
434ca68a,cryptarithm_deduce,%&&,%>%,0,0,574
f80d2e10,cryptarithm_deduce,{)^],]@'&,0,0,536
712fe3e4,cryptarithm_deduce,:#$#,($':,0,0,552
23b0eb54,cryptarithm_deduce,]/:),]/:),1,0,167
d6c03e21,cryptarithm_deduce,&(`#,&(`,0,0,162
ff0e37ae,cryptarithm_deduce,"%'""`",??|,0,0,473
42bde66c,cryptarithm_deduce,>),-()>,0,0,459
dbdbbaa3,cryptarithm_deduce,>'',">@""",0,0,424
02b8d816,cryptarithm_deduce,>$$>,>>$$,0,0,169
6beb3a1f,cryptarithm_deduce,??,[[),0,0,534
d29e19a4,cryptarithm_deduce,?|,?&$,0,0,527
41554020,cryptarithm_deduce,?:,^?,0,0,598
a0db1e75,cryptarithm_deduce,"-""!",`(,0,0,535
10b71e8a,cryptarithm_deduce,#}:,>&,0,0,549
f06547b1,cryptarithm_deduce,"[%""",)%%,0,0,628
191ac967,cryptarithm_deduce,!>,$>>,0,0,596
8494aad3,cryptarithm_deduce,"""`#&","])<""",0,0,169
923ac2b5,cryptarithm_deduce,#'<@,'[@@,0,0,207
dc6c0d49,cryptarithm_deduce,:>?#,\\#,0,0,518
cd2e20b9,cryptarithm_deduce,||`,}>>,0,0,493
cad4b9a7,cryptarithm_deduce,"#""^",??',0,0,527
9346686a,cryptarithm_deduce,:(,|(,0,0,622
3e5c7d9b,cryptarithm_deduce,-(|,[|,0,0,669
f7d26b8d,cryptarithm_deduce,/@,`\,0,0,624
a88f9fe3,cryptarithm_deduce,<],!!<,0,0,511
802c3591,cryptarithm_deduce,"`""""""",&?@`,0,0,596
f7828fc1,cryptarithm_deduce,"@${""",]>{`,0,0,524
d7662688,cryptarithm_deduce,]&]],10,0,1,7680
3b206148,cryptarithm_deduce,!>?,#&,0,0,515
1fb37a08,cryptarithm_deduce,$!:,%%,0,0,558
1d15b7e6,cryptarithm_deduce,|['{,[{@(,0,0,514
4de466bf,cryptarithm_deduce,^[,@$/,0,0,511
df3262bc,cryptarithm_deduce,]/,@#@,0,0,560
a1503629,cryptarithm_deduce,@)[[,-$$',0,0,484
7a5cfe3e,cryptarithm_deduce,-#>,10,0,1,7680
ba7d54c4,cryptarithm_deduce,>((<,)<`,0,0,459
9eaae1f1,cryptarithm_deduce,/\,[|/[,0,0,156
2ff200fb,cryptarithm_deduce,)^,&#,0,0,627
9fbd6a44,cryptarithm_deduce,::'',>\[,0,0,597
9081e954,cryptarithm_deduce,}{#,:`'(,0,0,476
12734c90,cryptarithm_deduce,]@>[,'\,0,0,590
a610040a,cryptarithm_deduce,:(|:,(<<|,0,0,533
7cac497a,cryptarithm_deduce,"%""""`","<%""[",0,0,615
810028f1,cryptarithm_deduce,-&\,\\#,0,0,558
a77be9fa,cryptarithm_deduce,"[""","""""",0,0,539
b9f1d959,cryptarithm_deduce,:>,:$,0,0,546
46fcfa9c,cryptarithm_deduce,-@?,|>,0,0,596
35a562bd,cryptarithm_deduce,(%(?,:#(,0,0,477
0b0a3643,cryptarithm_deduce,"""""",3,0,1,7680
67995540,cryptarithm_deduce,|%@,"""&@'",0,0,191
c05828eb,cryptarithm_deduce,-!|,)%!,0,0,539
9b4cffb2,cryptarithm_deduce,&@<,!%&,0,0,481
b391ffe1,cryptarithm_deduce,#!,@/[`,0,0,182
193c21d5,cryptarithm_deduce,}>[[,>>``,0,0,594
2c9a8df6,cryptarithm_deduce,-]\,@^@,0,0,533
2a5e45a4,cryptarithm_deduce,`@},}<,0,0,531
d8d87a89,cryptarithm_deduce,{,'?<,0,0,492
a266aeb5,cryptarithm_deduce,({,{`,0,0,575
60f55291,cryptarithm_deduce,/\|?,|!||!,0,0,526
610bf536,cryptarithm_deduce,^,&&,0,0,459
1ab54795,cryptarithm_deduce,%,\|,0,0,603
c413ac69,cryptarithm_deduce,"{""]","""{",0,0,461
d13e92ec,cryptarithm_deduce,?&,@^![,0,0,195
787a1344,cryptarithm_deduce,-[\,'[,0,0,665
d7aec90d,cryptarithm_deduce,^>\,\<,0,0,441
38c7aca1,cryptarithm_deduce,!!]{,')'){,0,0,610
e483e127,cryptarithm_deduce,#''>,]:,0,0,455
a644f19d,cryptarithm_deduce,#:,#<,0,0,544
d5602cc5,cryptarithm_deduce,(%,%),0,0,473
fa714b83,cryptarithm_deduce,/,2500,0,0,482
0d2e94ff,cryptarithm_deduce,}}^,&%,0,0,517
f624f57c,cryptarithm_deduce,[,@$[,0,0,553
d0e1010b,cryptarithm_deduce,!&&},$&$,0,0,502
d2fe9d04,cryptarithm_deduce,)}),2,0,0,180
9a19fc2d,cryptarithm_deduce,#>[,&',0,0,544
ae64d5e4,cryptarithm_deduce,[,^&[,0,0,524
289602f1,cryptarithm_deduce,?!,|%,0,0,464
6eb85496,cryptarithm_deduce,>^],>:#],0,0,652
acf8c11f,cryptarithm_deduce,"""'",'}),0,0,462
684de068,cryptarithm_deduce,"^""",?&,0,0,408
cb7bb0d0,cryptarithm_guess,}!,!',0,0,508
99b7018f,cryptarithm_guess,>\:,"""'",0,0,554
9eacc9a2,cryptarithm_guess,%?}%,${:,0,0,565
0c30f561,cryptarithm_guess,-],%,0,0,510
8d9a062b,cryptarithm_guess,^!,^^$,0,0,447
4bb8c6cd,cryptarithm_guess,]}\!,-/\,0,0,575
f3959455,cryptarithm_guess,:$,/%,0,0,489
dba045b0,cryptarithm_guess,`,<)&,0,0,473
fa4d703a,cryptarithm_guess,"^^""""",{[<,0,0,503
82109e34,cryptarithm_guess,-@>,-@@/,0,0,466
48817fa0,cryptarithm_guess,##:%,@#,0,0,552
0625f633,cryptarithm_guess,@@//,$/^,0,0,505
837a6ae7,cryptarithm_guess,<>\>,"{""",0,0,496
9f1015a1,cryptarithm_guess,-$\,\#$&,0,0,516
6c30f260,cryptarithm_guess,-\(,'#,0,0,504
8f1af066,cryptarithm_guess,-`[,|<,0,0,538
f45dd620,cryptarithm_guess,-??,"""\",0,0,459
b1181806,cryptarithm_guess,|>>,||>,0,0,565
54e8c553,cryptarithm_guess,$$<<,"""",0,0,558
5e989cc5,cryptarithm_guess,$$,{-$<,0,0,499
55f4fa64,cryptarithm_guess,{{!?,@@[,0,0,466
74914eac,cryptarithm_guess,::,`:,0,0,621
27fdca03,cryptarithm_guess,@!,>(/,0,0,572
bbcd608d,cryptarithm_guess,''[,'#,0,0,534
b271a61c,cryptarithm_guess,*@^,?^,0,0,473
62fc7798,cryptarithm_guess,}&,&:>,0,0,660
563bf8f9,cryptarithm_guess,-'/,"""<<""",0,0,714
9dfe5ac9,cryptarithm_guess,"'\%""",'''',0,0,527
cca64860,cryptarithm_guess,(,!{?^,0,0,528
5d35ee2e,cryptarithm_guess,&/{,&],0,0,537
40ba1b6f,cryptarithm_guess,$(,]#,0,0,594
2db53c85,cryptarithm_guess,)//:,>&',0,0,458
02902eb3,cryptarithm_guess,>/,$>{&,0,0,479
c9e16aff,cryptarithm_guess,]:(],{,0,0,445
f5126d48,cryptarithm_guess,${&@,(/,0,0,469
b16d6db2,cryptarithm_guess,":""<",%%`,0,0,528
2d624cab,cryptarithm_guess,![)],>#,0,0,507
