id,category,gold,pred,correct,truncated,n_tokens
ccede4a0,bit_manipulation,10101010,10101010,1,0,3603
bdb93228,bit_manipulation,11111101,00011011,0,0,3923
28b6bc51,bit_manipulation,11011011,11110110,0,0,3562
1f6c2fd9,bit_manipulation,00000000,00000000,1,0,3841
8ed5c9e7,bit_manipulation,11101110,11101110,1,0,3931
b9e7c7c4,bit_manipulation,00000000,00000001,0,0,3532
50e57462,bit_manipulation,11100111,11101111,0,0,3334
37664f79,bit_manipulation,10111010,10111010,1,0,3954
fa3cd146,bit_manipulation,00001111,00000000,0,0,3852
7b38ff97,bit_manipulation,00100000,00100100,0,0,3809
14742dd8,bit_manipulation,01110100,01110100,1,0,3654
1f69a85f,bit_manipulation,10111101,10111101,1,0,3629
638224db,bit_manipulation,10000101,10000001,0,0,3878
d9ce7d0d,bit_manipulation,00000111,00000001,0,0,3818
ea10e59c,bit_manipulation,00101010,01001000,0,0,3978
b8dcc19a,bit_manipulation,10101001,10101001,1,0,3705
6f91481e,bit_manipulation,11000000,10100000,0,0,3826
790d2fa8,bit_manipulation,11011001,11011001,1,0,4017
a69f387a,bit_manipulation,01010011,01010011,1,0,3687
5dd3345c,bit_manipulation,11111111,11111111,1,0,3909
4166067c,bit_manipulation,01110110,00110110,0,0,3736
8c06fb6f,bit_manipulation,10111111,10100101,0,0,4073
9ab82dfb,bit_manipulation,10011100,1011100,0,0,3806
7973c1b7,bit_manipulation,11000111,11000111,1,0,4072
6818b555,bit_manipulation,10000000,10000001,0,0,3941
91dc0848,bit_manipulation,00100100,00100100,1,0,3694
c7e6e08f,bit_manipulation,10001110,10001110,1,0,3534
aaa62881,bit_manipulation,00110001,00110000,0,0,3621
6cfe5536,bit_manipulation,01000010,01000100,0,0,3996
d9bdf754,bit_manipulation,00011111,00101111,0,0,3935
75898981,bit_manipulation,11100010,11100010,1,0,3816
c4d2cf2c,bit_manipulation,11000000,11000000,1,0,3624
54d2b3b0,bit_manipulation,00000000,00000000,1,0,4250
3982cfc6,bit_manipulation,00101110,01101101,0,0,3714
2b16044a,bit_manipulation,00011111,00011001,0,0,3895
36f13669,bit_manipulation,00000000,00000000,1,0,3509
c113055a,bit_manipulation,00010100,00010100,1,0,3511
030479a6,bit_manipulation,01000110,01000110,1,0,4075
35364e9a,bit_manipulation,11111110,11111110,1,0,3830
2f5f8f45,bit_manipulation,01000110,01011111,0,0,3717
80e2775c,bit_manipulation,01000000,01000000,1,0,4099
872c96f1,bit_manipulation,00010000,00010000,1,0,3927
31966698,bit_manipulation,11110111,11101111,0,0,4029
4ac6f0cb,bit_manipulation,10100101,1010101,0,0,3971
48db5ccf,bit_manipulation,01101110,01101110,1,0,3846
8e7952cc,bit_manipulation,00000100,00000100,1,0,3557
d9ae48ad,bit_manipulation,01110000,11110000,0,0,3673
8082a958,bit_manipulation,00000000,00000000,1,0,3768
9016e3d3,bit_manipulation,11001001,11001001,1,0,3666
a4ea5f61,bit_manipulation,10110111,10110111,1,0,3407
c2985c8e,bit_manipulation,11001111,11110011,0,0,3896
2ead53dc,bit_manipulation,00000101,00000101,1,0,3601
c11eba1d,bit_manipulation,11010111,11010111,1,0,3883
3fd617e5,bit_manipulation,00001111,00001111,1,0,4089
73d0b62c,bit_manipulation,10000111,10001110,0,0,3808
ca14582d,bit_manipulation,10101111,10101111,1,0,3763
c8730ea5,bit_manipulation,00101011,00111011,0,0,3773
bf002000,bit_manipulation,11001000,11001000,1,0,3680
16122fba,bit_manipulation,11000111,11000111,1,0,3936
30ce5200,bit_manipulation,00000010,00001010,0,0,3557
f5d096da,bit_manipulation,00011101,00011101,1,0,3988
4ebf50bd,bit_manipulation,10110100,10110100,1,0,3508
5d0db0d2,bit_manipulation,11111111,11111111,1,0,3919
26df9536,bit_manipulation,11101010,11101010,1,0,3554
dedd66f7,bit_manipulation,01010111,10001111,0,0,3937
4b628577,bit_manipulation,00100110,00100110,1,0,3861
947a029b,bit_manipulation,11111101,11111101,1,0,3501
bb326096,bit_manipulation,00101001,00101001,1,0,3560
4ec611d7,bit_manipulation,00011110,00011110,1,0,3624
ff746806,bit_manipulation,11000000,11000000,1,0,3544
c29cdaed,bit_manipulation,11101010,11101010,1,0,3482
0dfd7674,bit_manipulation,01001110,01001110,1,0,3912
2aa0fadc,bit_manipulation,11000011,11001101,0,0,3830
4c327b55,bit_manipulation,11011100,11011110,0,0,3808
1fa373db,bit_manipulation,00101001,00101010,0,0,3813
016c474c,bit_manipulation,00000100,00000100,1,0,3740
7f6baac7,bit_manipulation,01001000,10001000,0,0,3771
a4fceb43,bit_manipulation,00100000,00100000,1,0,3451
fd699316,bit_manipulation,01011100,01011100,1,0,3625
0536483a,bit_manipulation,00000000,00000000,1,0,3863
6c01f1a7,bit_manipulation,11100001,11100011,0,0,3751
e495b8e7,bit_manipulation,01000111,00111111,0,0,3772
81a1d399,bit_manipulation,00110011,00110011,1,0,3405
feef2d98,bit_manipulation,00000000,00000000,1,0,3805
ccc42ec2,bit_manipulation,01101011,01101011,1,0,4074
fe6d3aa3,bit_manipulation,10100010,10100010,1,0,3815
65ab9661,bit_manipulation,00000110,000000000,0,0,4057
a59e2ff7,bit_manipulation,01011111,01011111,1,0,3752
8740ed31,bit_manipulation,01101000,01111010,0,0,3948
47720c17,bit_manipulation,10001110,10001110,1,0,3972
36300e18,bit_manipulation,10011101,10111101,0,0,3505
e612387f,bit_manipulation,01011001,01011001,1,0,4175
37a00064,bit_manipulation,00000001,00000001,1,0,3852
524b744b,bit_manipulation,11111011,11011101,0,0,4015
98bbac0f,bit_manipulation,01101011,01101011,1,0,3678
71a661f7,bit_manipulation,11000001,11000001,1,0,3652
6890870d,bit_manipulation,01110000,01110000,1,0,3717
f951b8a1,bit_manipulation,11100111,11100111,1,0,3766
baeb4a11,bit_manipulation,11010000,11010000,1,0,3696
64a72fd3,bit_manipulation,10010111,10010011,0,0,3936
cef15a1b,cipher,hatter writes beyond castle,hatter writes beyond castle,1,0,2615
b944af61,cipher,alice explores the dark forest,alice explores the dark forest,1,0,1813
58a73331,cipher,hatter chases garden,hatter chases garden,1,0,1996
a5187932,cipher,turtle watches near village,turtle watches near village,1,0,1784
2506adc3,cipher,student imagines crystal,student imagines crystal,1,0,1974
b3772621,cipher,student writes around ocean,student writes around ocean,1,0,1651
1bc458f8,cipher,rabbit explores around library,rabbit explores around library,1,0,1780
7392acc5,cipher,wizard sees near library,wizard sees near library,1,0,2298
5626b254,cipher,teacher sees crystal,teacher sees crystal,1,0,1633
36386064,cipher,dragon writes inside school,dragon writes inside school,1,0,1732
a0f78caa,cipher,bird discovers potion,bird discovers potion,1,0,2272
2792186b,cipher,rabbit writes map,rabbit writes map,1,0,1609
b99bdad1,cipher,the golden queen watches,the golden queen watches,1,0,1955
11324eed,cipher,alice discovers above palace,alice discovers above puzzle,0,0,2074
d682aabd,cipher,the magical king creates,the magical king creates,1,0,2393
a092cafd,cipher,the clever cat dreams,the clever cat dreams,1,0,1795
d4519f28,cipher,turtle imagines treasure,turtle imagines treasure,1,0,1994
ce5650d9,cipher,cat follows the colorful treasure,cat follows the colorful treasure,1,0,2041
04c1e45b,cipher,teacher explores near castle,teacher explores near castle,1,0,1807
b9bde098,cipher,hatter dreams the clever message,hatter dreams the clever message,1,0,2446
f5bd70c7,cipher,queen creates above wonderland,queen creates above wonderland,1,0,1969
b89a3e4d,cipher,teacher imagines the magical key,teacher imagines the magical key,1,0,2142
31f2ed10,cipher,the colorful mouse chases,the colorful mouse chases,1,0,2259
9372da3d,cipher,knight watches the colorful castle,knight watches the colorful castle,1,0,1948
c3d00ce8,cipher,knight dreams near valley,knight dreams near valley,1,0,2001
327955b8,cipher,the wise princess draws,the wise princess draws,1,0,2149
eb6a20e4,cipher,dragon chases inside cave,dragon chases inside cave,1,0,1743
9f7ac89d,cipher,the colorful teacher reads,the colorful teacher reads,1,0,2119
763c53e3,cipher,student discovers key,student discovers key,1,0,1854
5693d1c3,cipher,the wise student creates,the wise student creates,1,0,1937
94d26763,cipher,mouse watches the strange forest,mouse watches the strange forest,1,0,1650
7f3ad303,cipher,king writes the dark castle,king writes the dark castle,1,0,1723
190c6205,cipher,the silver hatter sees,the silver hatter sees,1,0,1757
9fc369fc,cipher,alice explores inside island,alice explores inside island,1,0,1763
6d5ef2f4,cipher,mouse studies castle,mouse studies castle,1,0,2265
9a89e724,cipher,the strange turtle sees,the strange turtle sees,1,0,2158
c2567e6d,cipher,cat sees near island,cat sees near island,1,0,1943
fa15ba19,cipher,dragon found mirror,dragon found mirror,1,0,2290
9b732c0c,cipher,dragon creates beyond garden,dragon creates beyond garden,1,0,2057
40c70773,cipher,king reads castle,king reads castle,1,0,1941
1d99a2ac,cipher,the colorful dragon draws,the colorful dragon draws,1,0,2150
83140233,cipher,dragon discovers around valley,dragon discovers around valley,1,0,1813
098c2ba5,cipher,teacher watches under wonderland,teacher watches under wonderland,1,0,2045
78dc9bcb,cipher,princess found the wise forest,princess found the wise forest,1,0,2085
b088f1d9,cipher,the hidden mouse draws,the hidden mouse draws,1,0,1996
6e4afac0,cipher,rabbit follows key,rabbit follows key,1,0,2198
9ca96a88,cipher,dragon reads the strange treasure,dragon reads the strange treasure,1,0,2166
25cd4dab,cipher,knight reads the golden puzzle,knight reads the golden puzzle,1,0,1925
f63c1191,cipher,dragon found the colorful message,dragon found the colorful message,1,0,1955
e839885d,cipher,hatter explores around ocean,hatter explores around ocean,1,0,2386
1e3e930a,cipher,dragon creates potion,dragon creates potion,1,0,1863
fd683d67,cipher,turtle found the dark crystal,turtle found the dark crystal,1,0,2304
c93fdc3a,cipher,king watches door,king watches door,1,0,2104
a81ea247,cipher,the mysterious student follows,the mysterious student follows,1,0,2137
f9fa506d,cipher,teacher creates story,teacher creates story,1,0,1721
23eca41d,cipher,queen found key,queen found key,1,0,2055
51c682af,cipher,queen sees door,queen sees door,1,0,1656
39470bbb,cipher,the colorful queen explores,the colorful queen explores,1,0,2341
b09efdc9,cipher,king watches near garden,king watches near garden,1,0,2192
707a6d67,cipher,king chases the colorful mirror,king chases the crystal mirror,0,0,1893
b7f05101,cipher,alice imagines under tower,alice imagines under tower,1,0,1997
14d74a0b,cipher,dragon draws the dark book,dragon draws the dark book,1,0,1948
6cec0a97,cipher,teacher draws the golden treasure,teacher draws the golden treasure,1,0,2050
92087c7c,cipher,the magical rabbit follows,the magical rabbit follows,1,0,1868
a07c827c,cipher,queen dreams around wonderland,queen dreams around wonderland,1,0,2265
9a7bcda6,cipher,mouse dreams treasure,mouse dreams treasure,1,0,1728
d99baa5f,cipher,hatter sees story,hatter sees story,1,0,1824
0e865577,cipher,teacher found the silver garden,teacher found the silver garden,1,0,2335
bf52169b,cipher,the clever wizard reads,the clever wizard reads,1,0,1735
cf250a13,cipher,the magical knight reads,the magical knight reads,1,0,2083
00a3fd23,cipher,wizard watches through library,wizard watches through library,1,0,2128
b4cd34fe,cipher,the silver rabbit sees,the silver rabbit sees,1,0,1850
5923f138,cipher,teacher chases garden,teacher chases garden,1,0,1604
9817fda7,cipher,wizard chases secret,wizard chases secret,1,0,2258
6bed646b,cipher,the bright cat discovers,the bright cat discovers,1,0,1926
db89abd9,cipher,princess chases through village,princess chases through village,1,0,1888
4f8571a3,cipher,king follows through village,king follows through village,1,0,2249
902410ec,cipher,king explores under school,king explores under school,1,0,1905
ff7ffa87,cipher,rabbit explores mirror,rabbit explores mirror,1,0,1891
0f2fa7dd,cipher,mouse draws through mountain,mouse draws through mountain,1,0,2187
9610a42b,cipher,princess discovers the silver map,princess discovers the silver map,1,0,2243
f56e4d94,cipher,queen follows the strange door,queen follows the strange door,1,0,1977
16642d10,cipher,king found in valley,king found in valley,1,0,1768
94c06b54,cipher,wizard discovers around tower,wizard discovers around tower,1,0,2360
13ee1abb,cipher,student draws secret,student draws secret,1,0,1887
39918d5b,cipher,turtle explores crystal,turtle explores crystal,1,0,2386
f06051ac,cipher,the magical bird writes,the magical bird writes,1,0,1846
ee4ed522,cipher,the bright rabbit dreams,the bright rabbit dreams,1,0,1911
ac3836f7,cipher,student chases treasure,student chases treasure,1,0,1824
aec87b7b,cipher,mouse explores the clever mirror,mouse explores the clever mirror,1,0,1877
fd3920e2,cipher,hatter watches in island,hatter watches in island,1,0,1718
2b709308,cipher,mouse discovers door,mouse discovers door,1,0,1840
6dec0181,cipher,king reads garden,king reads garden,1,0,1993
575efbd2,cipher,the silver alice sees,the silver alice sees,1,0,2321
fe407d0f,cipher,cat studies the silver message,cat studies the silver message,1,0,2009
b20bba0b,cipher,princess reads above cave,princess reads above cave,1,0,1776
01c5cb71,cipher,student follows book,student follows book,1,0,1888
2a8957eb,cipher,teacher imagines inside garden,teacher imagines inside garden,1,0,1890
4027a3ae,cipher,student reads puzzle,student reads puzzle,1,0,1716
0925e4c0,cipher,teacher draws above forest,teacher draws above forest,1,0,2326
