id,category,gold,pred,correct,truncated,n_tokens
7f21620f,cryptarithm_deduce,")""/{",<^{,0,0,2925
ca85809b,cryptarithm_deduce,%!^&,[^#,0,0,4395
2d89386e,cryptarithm_deduce,:,$',0,0,1809
f2a25cf9,cryptarithm_deduce,:!,^){,0,0,2305
d7bcb4a6,cryptarithm_deduce,}{,#%|,0,0,2356
be7a9eb1,cryptarithm_deduce,[]`',J@>],0,0,5836
b2a8384e,cryptarithm_deduce,-$,-)},0,0,1382
a26065d4,cryptarithm_deduce,<',&@,0,0,1555
a12f00f4,cryptarithm_deduce,$:[,<$,0,0,1510
162ff61a,cryptarithm_deduce,?!,>>,0,0,2116
e582df31,cryptarithm_deduce,}@,"@""",0,0,4649
56ac76c6,cryptarithm_deduce,>&{,\!,0,0,1648
23c59364,cryptarithm_deduce,>/,#'/,0,0,4410
eac0e775,cryptarithm_deduce,<@<(,<@<(<,0,0,442
9f8fda8a,cryptarithm_deduce,\#,1,0,1,7680
ae4aef23,cryptarithm_deduce,%<<,!?,0,0,1280
9cc02bc1,cryptarithm_deduce,:#:',:#:',1,0,591
d350828e,cryptarithm_deduce,}!||,2,0,1,7680
bb9dd0ad,cryptarithm_deduce,/^//,^/},0,0,2000
d23f4166,cryptarithm_deduce,{|)@,{@@,0,0,2253
434ca68a,cryptarithm_deduce,%&&,<{)%,0,0,2206
f80d2e10,cryptarithm_deduce,{)^],&){,0,0,3160
712fe3e4,cryptarithm_deduce,:#$#,-$,0,0,2801
23b0eb54,cryptarithm_deduce,]/:),]/:),1,0,413
d6c03e21,cryptarithm_deduce,&(`#,&(`,0,0,519
ff0e37ae,cryptarithm_deduce,"%'""`","%'""`",1,0,447
42bde66c,cryptarithm_deduce,>),)),0,0,1358
dbdbbaa3,cryptarithm_deduce,>'',$(,0,0,3282
02b8d816,cryptarithm_deduce,>$$>,>$$>,1,0,427
6beb3a1f,cryptarithm_deduce,??,[,0,0,1730
d29e19a4,cryptarithm_deduce,?|,?#|',0,0,3865
41554020,cryptarithm_deduce,?:,:@,0,0,2380
a0db1e75,cryptarithm_deduce,"-""!",-)]},0,0,1676
10b71e8a,cryptarithm_deduce,#}:,>\,0,0,1515
f06547b1,cryptarithm_deduce,"[%""",""">>",0,0,5220
191ac967,cryptarithm_deduce,!>,}</>,0,0,3138
8494aad3,cryptarithm_deduce,"""`#&","#&""",0,0,2657
923ac2b5,cryptarithm_deduce,#'<@,<]|,0,0,1867
dc6c0d49,cryptarithm_deduce,:>?#,344,0,1,7680
cd2e20b9,cryptarithm_deduce,||`,}/,0,0,1681
cad4b9a7,cryptarithm_deduce,"#""^","@""(",0,0,1098
9346686a,cryptarithm_deduce,:(,"""/",0,0,1469
3e5c7d9b,cryptarithm_deduce,-(|,"[""",0,0,1818
f7d26b8d,cryptarithm_deduce,/@,-[/,0,0,2395
a88f9fe3,cryptarithm_deduce,<],-1,0,1,7680
802c3591,cryptarithm_deduce,"`""""""",)?,0,0,2067
f7828fc1,cryptarithm_deduce,"@${""",@$//,0,0,2252
d7662688,cryptarithm_deduce,]&]],]]&]],0,0,420
3b206148,cryptarithm_deduce,!>?,#?,0,0,1213
1fb37a08,cryptarithm_deduce,$!:,<,0,0,3614
1d15b7e6,cryptarithm_deduce,|['{,$[[,0,0,1731
4de466bf,cryptarithm_deduce,^[,][>,0,0,2424
df3262bc,cryptarithm_deduce,]/,-$?,0,0,1494
a1503629,cryptarithm_deduce,@)[[,)%%,0,0,1661
7a5cfe3e,cryptarithm_deduce,-#>,->&,0,0,1597
ba7d54c4,cryptarithm_deduce,>((<,"|J<""",0,0,2478
9eaae1f1,cryptarithm_deduce,/\,-{&,0,0,2553
2ff200fb,cryptarithm_deduce,)^,[>,0,0,2377
9fbd6a44,cryptarithm_deduce,::'',>(\,0,0,2753
9081e954,cryptarithm_deduce,}{#,%{,0,0,4199
12734c90,cryptarithm_deduce,]@>[,\(@],0,0,3411
a610040a,cryptarithm_deduce,:(|:,&+{,0,0,1479
7cac497a,cryptarithm_deduce,"%""""`",[\&,0,0,2334
810028f1,cryptarithm_deduce,-&\,-#(,0,0,1554
a77be9fa,cryptarithm_deduce,"[""",\{>,0,0,1885
b9f1d959,cryptarithm_deduce,:>,"""""",0,0,1283
46fcfa9c,cryptarithm_deduce,-@?,@},0,0,2223
35a562bd,cryptarithm_deduce,(%(?,){',0,0,1409
0b0a3643,cryptarithm_deduce,"""""",-/@,0,0,3122
67995540,cryptarithm_deduce,|%@,'),0,0,1956
c05828eb,cryptarithm_deduce,-!|,-@>,0,0,2245
9b4cffb2,cryptarithm_deduce,&@<,!%!,0,0,2325
b391ffe1,cryptarithm_deduce,#!,}!>,0,0,1953
193c21d5,cryptarithm_deduce,}>[[,%@>>,0,0,2381
2c9a8df6,cryptarithm_deduce,-]\,\<,0,0,1360
2a5e45a4,cryptarithm_deduce,`@},)@,0,0,1410
d8d87a89,cryptarithm_deduce,{,!!,0,0,1761
a266aeb5,cryptarithm_deduce,({,`,0,0,2509
60f55291,cryptarithm_deduce,/\|?,|{\{,0,0,2290
610bf536,cryptarithm_deduce,^,#,0,0,1604
1ab54795,cryptarithm_deduce,%,-(,0,0,1539
c413ac69,cryptarithm_deduce,"{""]",/]},0,0,1833
d13e92ec,cryptarithm_deduce,?&,^&,0,0,1775
787a1344,cryptarithm_deduce,-[\,-\,0,0,4033
d7aec90d,cryptarithm_deduce,^>\,&&,0,0,1979
38c7aca1,cryptarithm_deduce,!!]{,&@#>,0,0,2727
e483e127,cryptarithm_deduce,#''>,347,0,1,7680
a644f19d,cryptarithm_deduce,#:,@},0,0,2918
d5602cc5,cryptarithm_deduce,(%,-({,0,0,1479
fa714b83,cryptarithm_deduce,/,^(>{,0,0,3752
0d2e94ff,cryptarithm_deduce,}}^,&&,0,0,3272
f624f57c,cryptarithm_deduce,[,((/,0,0,3081
d0e1010b,cryptarithm_deduce,!&&},^&|,0,0,2094
d2fe9d04,cryptarithm_deduce,)}),"""\<",0,0,2067
9a19fc2d,cryptarithm_deduce,#>[,)),0,0,1305
ae64d5e4,cryptarithm_deduce,[,-}[,0,0,3501
289602f1,cryptarithm_deduce,?!,+^,0,0,1420
