id,category,gold,pred,correct,truncated,n_tokens
f2a25cf9,cryptarithm_deduce,:!,:),0,0,133
d7bcb4a6,cryptarithm_deduce,}{,|/,0,0,116
e582df31,cryptarithm_deduce,}@,@^,0,0,136
23c59364,cryptarithm_deduce,>/,||,0,0,151
9f8fda8a,cryptarithm_deduce,\#,<',0,0,121
d350828e,cryptarithm_deduce,}!||,{)||,0,0,161
bb9dd0ad,cryptarithm_deduce,/^//,"""}",0,0,109
d23f4166,cryptarithm_deduce,{|)@,}#@),0,0,128
434ca68a,cryptarithm_deduce,%&&,]%>,0,0,162
f80d2e10,cryptarithm_deduce,{)^],))'{,0,0,164
23b0eb54,cryptarithm_deduce,]/:),]/:/,0,0,163
42bde66c,cryptarithm_deduce,>),#</,0,0,138
02b8d816,cryptarithm_deduce,>$$>,>$>>,0,0,104
6beb3a1f,cryptarithm_deduce,??,[[,0,0,129
d29e19a4,cryptarithm_deduce,?|,&',0,0,135
41554020,cryptarithm_deduce,?:,}#|,0,0,122
10b71e8a,cryptarithm_deduce,#}:,?#,0,0,138
f06547b1,cryptarithm_deduce,"[%""",[<',0,0,142
8494aad3,cryptarithm_deduce,"""`#&",##)^,0,0,149
923ac2b5,cryptarithm_deduce,#'<@,#'|),0,0,132
dc6c0d49,cryptarithm_deduce,:>?#,!@#,0,0,121
cad4b9a7,cryptarithm_deduce,"#""^",?#^$,0,0,147
9346686a,cryptarithm_deduce,:(,@,0,0,106
f7828fc1,cryptarithm_deduce,"@${""",{##,0,0,126
d7662688,cryptarithm_deduce,]&]],]&]],1,0,109
1fb37a08,cryptarithm_deduce,$!:,$$,0,0,110
4de466bf,cryptarithm_deduce,^[,@@@,0,0,140
9eaae1f1,cryptarithm_deduce,/\,5,0,0,128
a77be9fa,cryptarithm_deduce,"[""",^[,0,0,137
35a562bd,cryptarithm_deduce,(%(?,(())?,0,0,146
a266aeb5,cryptarithm_deduce,({,[],0,0,99
610bf536,cryptarithm_deduce,^,^,1,0,117
c413ac69,cryptarithm_deduce,"{""]",%,0,0,116
d13e92ec,cryptarithm_deduce,?&,?!,0,0,115
38c7aca1,cryptarithm_deduce,!!]{,!!|{},0,0,144
e483e127,cryptarithm_deduce,#''>,'>>>>,0,0,142
0d2e94ff,cryptarithm_deduce,}}^,<},0,0,114
f624f57c,cryptarithm_deduce,[,',0,0,109
d0e1010b,cryptarithm_deduce,!&&},&>&#,0,0,144
d2fe9d04,cryptarithm_deduce,)}),"}27""",0,0,186
289602f1,cryptarithm_deduce,?!,#},0,0,92
acf8c11f,cryptarithm_deduce,"""'",')'),0,0,133
