id,type,family,axis,line_no,tokens_before,text,note
02b8d816,,,,,426,,
0b0a3643,kill,sign,transcription,33,549,s4: x != -|a-b|: EQ4 result carries no sign glyph but -|a-b| always writes one -> drop.,EQ4 result DOES carry a sign glyph
0d2e94ff,kill,range,verdict,39,770,"s6: x != |a-b|, a mod b, b mod a, b-a, a-b: EQ1 result has 2 digit(s) (value 10..99) but with a in 10..99, b in 10..99: |a-b| <= 89, a mod b <= 98, b mod a <= 98, b-a <= 89, a-b <= 89 -> drop.",|a-b| <= 89 does not miss 10..99 | a mod b <= 98 does not miss 10..99 | b mod a <= 98 does not miss 10..99 | b-a <= 89 does not miss 10..99
10b71e8a,kill,sign,transcription,36,571,s4: y != -|a-b|: EQ3 result has no sign glyph but -|a-b| always writes one -> drop.,EQ3 result DOES carry a sign glyph
12734c90,kill,range,verdict,37,668,"s5: y != |a-b|, a mod b, b mod a, b-a, a-b: EQ2 result has 1 digit(s) (value 0..9) but with a in 10..99, b in 10..99: |a-b| >= 0, a mod b <= 98, b mod a <= 98, b-a >= -89, a-b >= -89 -> drop.",|a-b| >= 0 does not miss 0..9 | a mod b <= 98 does not miss 0..9 | b mod a <= 98 does not miss 0..9 | b-a >= -89 does not miss 0..9
162ff61a,kill,range,verdict,37,663,"s5: y != |a-b|, a mod b, b mod a, b-a, a-b: EQ2 result has 2 digit(s) (value 10..99) but with a in 10..99, b in 10..99: |a-b| <= 89, a mod b <= 98, b mod a <= 98, b-a <= 89, a-b <= 89 -> drop.",|a-b| <= 89 does not miss 10..99 | a mod b <= 98 does not miss 10..99 | b mod a <= 98 does not miss 10..99 | b-a <= 89 does not miss 10..99
191ac967,kill,range,verdict,36,539,"s3: z != |a-b|, a mod b, b mod a, b-a, a-b: EQ4 result has 2 digit(s) (value 10..99) but with a in 10..99, b in 10..99: |a-b| <= 89, a mod b <= 98, b mod a <= 98, b-a <= 89, a-b <= 89 -> drop.",|a-b| <= 89 does not miss 10..99 | a mod b <= 98 does not miss 10..99 | b mod a <= 98 does not miss 10..99 | b-a <= 89 does not miss 10..99
193c21d5,kill,enum,transcription,46,769,"s13: x != a mod b: EQ1 readings: a=32, b=43: a mod b = 32, result digit 1 would be 3 but 3 is taken by A; a=32, b=53: a mod b = 32, result digit 1 would be 3 but 3 is taken by A; a=42, b=34: a mod b = 8, 1 digit(s) but the result has 2; a=42, b=54: a mod b = 42, result digit 1 would be 4 but 4 is taken by A; a=52, b=35: a mod b = 17, result digit 1 would be 1 but 1 is taken by E; a=52, b=45: a mod b = 7, 1 digit(s) but the result has 2 -> drop.",3 not pinned to A (None) | 3 not pinned to A (None) | 4 not pinned to A (None)
1ab54795,kill,sign,transcription,35,593,s4: x != -|a-b|: EQ2 result has no sign glyph but -|a-b| always writes one -> drop.,EQ2 result DOES carry a sign glyph
1d15b7e6,union,digit-map,verdict,18,311,} -> H,"'}' should map to I (first-appearance), got H"
1fb37a08,kill,range,verdict,34,654,"s5: x != |a-b|, a+b, a+b-1, a+b+1, a mod b, b mod a, b-a, a-b: EQ1 result has 3 digit(s) (value 100..999) but with a in 10..99, b in 10..99: |a-b| <= 89, a+b <= 198, a+b-1 <= 197, a+b+1 <= 199, a mod b <= 98, b mod a <= 98, b-a <= 89, a-b <= 89 -> drop.",a+b <= 198 does not miss 100..999 | a+b-1 <= 197 does not miss 100..999 | a+b+1 <= 199 does not miss 100..999
23b0eb54,table-scan,,transcription,7,137,"EQ3 \(--|| chars: 1=\ 2=( 3=- 4=| 5=| -> op - ; digits \ ( | | ; RHS -:/ -> leading - is the op glyph (sign), digits : /",LHS '\\(--||' != prompt '\\(-||'
23c59364,table-scan,,verdict,6,93,"EQ2 }#+`| chars: 1=} 2=# 3=+ 4=` 5=| -> op + ; digits } # ` | ; RHS +>` -> leading + is the op glyph (sign), digits > |",RHS digit list != own stated RHS minus sign
289602f1,table-scan,,transcription,9,251,EQ5 ^^}#: chars: 1=^ 2=^ 3=} 4=# 5=: -> op } ; digits ^ ^ # : ; RHS |!: -> digits | ! :,RHS '|!:' != prompt '|:!'
2a5e45a4,kill,range,verdict,36,527,"s3: z != |a-b|, a mod b, b mod a, b-a, a-b: EQ3 result has 1 digit(s) (value 0..9) but with a in 10..99, b in 10..99: |a-b| >= -89, a mod b >= -98, b mod a >= -97, b-a >= -89, a-b >= -89 -> drop.",|a-b| >= -89 does not miss 0..9 | a mod b >= -98 does not miss 0..9 | b mod a >= -97 does not miss 0..9 | b-a >= -89 does not miss 0..9
2c9a8df6,kill,onesenum,verdict,41,656,"s11: z != a*b: EQ3 ones: a ends E in {2,3,4}, b ends 1, result ends a's ones symbol; 2*1 ends 2; 3*1 ends 3; 4*1 ends 4 -> none matches -> drop.",3 stated pair(s) actually match the target
2d89386e,kill,onesenum,verdict,44,722,"s11: z != a*b: EQ3 ones: a ends 1, b ends E in {2,3,4,5,6,7,8,9}, result ends A in {2,3,4,5,6,7,8,9}; 1*2 ends 2; 1*3 ends 3; 1*4 ends 4; 1*5 ends 5; 1*6 ends 6; 1*7 ends 7; 1*8 ends 8; 1*9 ends 9 -> none matches -> drop.",8 stated pair(s) actually match the target
2ff200fb,kill,onesenum,verdict,43,727,"s11: x != a*b-1: EQ1 ones: a ends B in {2,3}, b ends D in {2,3}, result ends G in {4,5,6}; 2*3 then -1 ends 5; 3*2 then -1 ends 5 -> none matches -> drop.",2 stated pair(s) actually match the target
35a562bd,kill,onesenum,verdict,45,729,"s13: x != a+b: EQ1 ones: a ends A in {3,4,5,6,7,8,9}, b ends 2, result ends D=1; 3+2 ends 5; 4+2 ends 6; 5+2 ends 7; 6+2 ends 8; 7+2 ends 9; 8+2 ends 0; 9+2 ends 1 -> none matches -> drop.",1 stated pair(s) actually match the target
38c7aca1,routing,example,transcription,30,394,EQ1 RHS !||{ vs '{') (in order) / '){' (swapped) -> neither.,swapped operand string wrong
