id,category,gold,pred,correct,truncated,n_tokens
a897b8bc,bit_manipulation,01111101,12,0,1,7680
e5ae7b47,bit_manipulation,00000000,00000010,0,0,4948
3a7dd604,bit_manipulation,01001010,01010110,0,0,4127
124bc762,bit_manipulation,11100010,00000000,0,0,5372
4fb6838e,bit_manipulation,10000101,0,0,1,7680
b265a4af,bit_manipulation,00100100,00000000,0,0,6436
9c9eacbd,bit_manipulation,10000100,01000010,0,0,5352
4dbb8138,bit_manipulation,00000000,012345,0,1,7680
6abc8047,bit_manipulation,00101001,1,0,1,7680
0f7be6a8,bit_manipulation,01000000,64,0,1,7680
6a933284,bit_manipulation,00101101,11010100,0,0,4718
7877dd7f,bit_manipulation,11101000,70,0,1,7680
0e7a6920,bit_manipulation,00101111,7,0,1,7680
9d09171e,bit_manipulation,01011111,05,0,1,7680
823be38e,bit_manipulation,01110100,0,0,1,7680
dae576ce,bit_manipulation,01000100,00000000,0,0,6454
77f17a8f,bit_manipulation,00011111,1,0,1,7680
34a31822,bit_manipulation,00000000,10000001,0,0,5664
d85d7964,bit_manipulation,10101010,45,0,1,7680
f922f81c,bit_manipulation,00000000,32,0,1,7680
be9b0c9b,bit_manipulation,00000000,0123456,0,1,7680
ce862776,bit_manipulation,01000000,11110010,0,0,6520
b80795b4,bit_manipulation,00010000,1,0,1,7680
a4970d02,bit_manipulation,00000101,00000000,0,0,5502
4c06f388,bit_manipulation,00100110,01011011,0,0,5754
bf20f12c,bit_manipulation,10110110,0,0,1,7680
4005e4c7,bit_manipulation,00000000,00000000,1,0,5307
0b56b953,bit_manipulation,11000101,31,0,1,7680
bef8b5ec,bit_manipulation,00000010,00000000,0,0,7396
65ab9661,bit_manipulation,00000110,000000,0,1,7680
6c01f1a7,bit_manipulation,11100001,10001100,0,0,5322
691c6e38,bit_manipulation,00010000,00000001,0,0,5019
73539baa,bit_manipulation,10010110,0,0,1,7680
1fd84ab1,bit_manipulation,11001110,11111110,0,0,6317
573eaca1,bit_manipulation,01011110,36,0,1,7680
5a9d4664,bit_manipulation,11010001,10010101,0,0,4180
2d790c98,bit_manipulation,01111011,11011100,0,0,5464
cb7c2230,bit_manipulation,10100000,01000000,0,0,5944
dd3d9046,bit_manipulation,10100000,00000000,0,0,5848
25705f72,bit_manipulation,11110000,00001110,0,0,6815
20c252d7,bit_manipulation,00111111,11000011,0,0,4315
da38592d,bit_manipulation,01001110,1,0,1,7680
318ddaa9,bit_manipulation,00000010,01000001,0,0,4561
106aeb25,bit_manipulation,10000001,01010010,0,0,6441
d5220697,bit_manipulation,11111111,4,0,1,7680
738f4928,bit_manipulation,10010101,0,0,1,7680
16122fba,bit_manipulation,11000111,26,0,1,7680
3bdb85cf,bit_manipulation,01000100,01001010,0,0,4690
07d8149a,bit_manipulation,01000000,01234567,0,1,7680
99ff46bb,bit_manipulation,11100101,00000000,0,0,5293
47998fb4,bit_manipulation,00111100,3,0,1,7680
e5b3f73b,bit_manipulation,10111011,00000000,0,0,5151
18ab3864,bit_manipulation,10100000,10000001,0,0,4579
af58b824,bit_manipulation,10110000,61,0,1,7680
1d08947a,bit_manipulation,10010100,10000101,0,0,4343
629b09d1,bit_manipulation,00111010,35,0,1,7680
a898cbc4,bit_manipulation,01010000,10000000,0,0,5179
d5a28743,bit_manipulation,00000011,1,0,1,7680
b8722d19,bit_manipulation,00100100,7,0,1,7680
8b12ff37,bit_manipulation,10000000,01111101,0,0,6100
7cc61ea9,bit_manipulation,10100101,00000000,0,0,4999
6d9ff2a3,bit_manipulation,00110010,10001010,0,0,4570
59c78e51,bit_manipulation,00000000,00000000,1,0,5044
cc861605,bit_manipulation,00000101,00000011,0,0,4836
6bef21ca,bit_manipulation,01111101,100000011,0,0,5035
d01aeeda,bit_manipulation,01101111,51,0,1,7680
cf5b4ab4,bit_manipulation,11101100,10000000,0,0,4572
59bee375,bit_manipulation,10010101,1,0,1,7680
93955d17,bit_manipulation,10000100,01110000,0,0,4712
4575c0a2,bit_manipulation,10011010,00000000,0,0,5619
9121e150,bit_manipulation,11111001,65,0,1,7680
716998e8,bit_manipulation,10010000,10000000,0,0,6349
d8d3648f,bit_manipulation,01100100,7,0,1,7680
ab064b6a,bit_manipulation,11111111,17,0,1,7680
b9734394,bit_manipulation,00000010,012,0,1,7680
6f7a9048,bit_manipulation,00101000,01111111,0,0,5773
d2d230d5,bit_manipulation,01100000,00000001,0,0,4338
0df8306a,bit_manipulation,10000000,6,0,1,7680
bf98d26a,bit_manipulation,00101110,10000000,0,0,4542
ba73cc70,bit_manipulation,00011101,10000000,0,0,5846
b91855fd,bit_manipulation,00110000,01000000,0,0,5164
24f44584,bit_manipulation,11111011,4,0,1,7680
314d28a0,bit_manipulation,00101000,61,0,1,7680
a94232ca,bit_manipulation,10000011,10001111,0,0,6148
f3cdeb29,bit_manipulation,01101110,11111111,0,0,3515
5f76ba09,bit_manipulation,10010111,10100111,0,0,4349
e0918834,bit_manipulation,10000111,10100000,0,0,5187
e5d0d497,bit_manipulation,01101101,11111111,0,0,4921
fd2c352d,bit_manipulation,01010001,01110101,0,0,4941
d50683b4,bit_manipulation,00100110,1,0,1,7680
f2a167e5,bit_manipulation,10101110,00010011,0,0,4611
19f4b3d6,bit_manipulation,00000011,01101001,0,0,6907
1f69a85f,bit_manipulation,10111101,00000111,0,0,4596
a8887238,bit_manipulation,00101000,23,0,1,7680
05d58fb3,bit_manipulation,01011101,01000001,0,0,7063
161667cd,bit_manipulation,11000100,11100111,0,0,3881
28feff8e,bit_manipulation,00000000,00000000,1,0,4770
0a6d48aa,bit_manipulation,11100011,01111111,0,0,3792
da616170,bit_manipulation,00010111,11110100,0,0,4591
e641791f,bit_manipulation,00010001,7,0,1,7680
0520a6ec,bit_manipulation,10100001,11010000,0,0,4579
aa3ae31f,bit_manipulation,10011100,01001100,0,0,5144
31966698,bit_manipulation,11110111,00010000,0,0,6221
35dafdbc,bit_manipulation,01011000,00000000,0,0,4024
6a41d37b,bit_manipulation,00101011,4,0,1,7680
f1c1ed58,bit_manipulation,01111111,11011011,0,0,5236
e05e9ed2,bit_manipulation,00000111,00000001,0,0,5202
046e8532,bit_manipulation,00011100,01111000,0,0,4333
7ed809c8,bit_manipulation,11000000,11111111,0,0,4421
3e847951,bit_manipulation,10110010,11111101,0,0,3876
7a79ac09,bit_manipulation,11111111,01110101,0,0,5045
f8c6ea2c,bit_manipulation,00000000,00010000,0,0,5123
70bc42af,bit_manipulation,10101010,01000101,0,0,3843
304cc47b,bit_manipulation,00101010,00000011,0,0,4781
ef37f544,bit_manipulation,10000000,00111001,0,0,7322
67ae4217,bit_manipulation,11101101,00010000,0,0,6032
95771a39,bit_manipulation,00000100,00000000,0,0,4134
710cf035,bit_manipulation,10000011,1,0,1,7680
f929c6cc,bit_manipulation,10010001,67,0,1,7680
db360db0,bit_manipulation,11000110,10110001,0,0,4794
cf447906,bit_manipulation,10000111,47,0,1,7680
cb239867,bit_manipulation,10000011,1C0C0C10,0,0,5214
0dd5caf4,bit_manipulation,00000000,00000000,1,0,5075
0440e6ab,bit_manipulation,01100000,01110011,0,0,5012
f8f4c3b4,bit_manipulation,10001101,11000000,0,0,4238
b67194af,bit_manipulation,10100110,67,0,1,7680
52d72862,bit_manipulation,01001000,01000010,0,0,6578
93ef4c81,bit_manipulation,01001110,01000100,0,0,5182
7c4db527,bit_manipulation,11100001,00111100,0,0,4261
2b28f527,bit_manipulation,10000101,00000000,0,0,4923
c5ce7236,bit_manipulation,10111000,54,0,1,7680
88872de7,bit_manipulation,00000010,25,0,1,7680
e6cbc2bd,bit_manipulation,00000011,01001100,0,0,5270
b5b9c138,bit_manipulation,00100001,17,0,1,7680
0290f51a,bit_manipulation,10101111,37,0,1,7680
e7c7486e,bit_manipulation,10000111,5,0,1,7680
21312779,bit_manipulation,10101111,01111101,0,0,4259
ce094207,bit_manipulation,00101011,32,0,1,7680
2c6cb766,bit_manipulation,11000000,01345,0,1,7680
72d263a8,bit_manipulation,00000001,00000001,1,0,3846
663fd5e9,bit_manipulation,00001100,11111111,0,0,3678
aeca38ba,bit_manipulation,01111011,35,0,1,7680
d2b4560f,bit_manipulation,00101001,37,0,1,7680
b76fd053,bit_manipulation,11100111,,0,1,7680
839e7350,bit_manipulation,00111011,10011001,0,0,5111
899b479d,bit_manipulation,11011100,01000110,0,0,6197
fbbe43a3,bit_manipulation,00010101,6,0,1,7680
5ec86a30,bit_manipulation,00010101,35,0,1,7680
c23fca57,bit_manipulation,00101100,00000001,0,0,4629
1fd310dc,bit_manipulation,00011101,21,0,1,7680
5374b4ba,bit_manipulation,10101100,11111111,0,0,4368
98c4eb34,bit_manipulation,00100000,01000000,0,0,4956
a9b2349f,bit_manipulation,00000000,7,0,1,7680
