id,category,gold,pred,correct,truncated,n_tokens
7f21620f,cryptarithm_deduce,")""/{",!@$,0,0,3630
ca85809b,cryptarithm_deduce,%!^&,[^!^,0,0,3441
2d89386e,cryptarithm_deduce,:,<',0,0,1821
f2a25cf9,cryptarithm_deduce,:!,?#L(,0,0,3698
d7bcb4a6,cryptarithm_deduce,}{,>#|,0,0,2453
be7a9eb1,cryptarithm_deduce,[]`','%]],0,0,3411
b2a8384e,cryptarithm_deduce,-$,-)},0,0,1392
a26065d4,cryptarithm_deduce,<',&@,0,0,1555
a12f00f4,cryptarithm_deduce,$:[,$$,0,0,1596
162ff61a,cryptarithm_deduce,?!,?>,0,0,3815
e582df31,cryptarithm_deduce,}@,?'',0,0,2373
56ac76c6,cryptarithm_deduce,>&{,`?>,0,0,2946
23c59364,cryptarithm_deduce,>/,"))""",0,0,3280
eac0e775,cryptarithm_deduce,<@<(,<@<(,1,0,440
9f8fda8a,cryptarithm_deduce,\#,<\!,0,0,3926
ae4aef23,cryptarithm_deduce,%<<,!|,0,0,1282
9cc02bc1,cryptarithm_deduce,:#:',:#:',1,0,591
d350828e,cryptarithm_deduce,}!||,{/(>,0,0,2855
bb9dd0ad,cryptarithm_deduce,/^//,">""]^",0,0,4077
d23f4166,cryptarithm_deduce,{|)@,{@@,0,0,2253
434ca68a,cryptarithm_deduce,%&&,[:%,0,0,1569
f80d2e10,cryptarithm_deduce,{)^],"""&^{",0,0,5128
712fe3e4,cryptarithm_deduce,:#$#,$)$,0,0,2627
23b0eb54,cryptarithm_deduce,]/:),]/:),1,0,416
d6c03e21,cryptarithm_deduce,&(`#,&(`,0,0,519
ff0e37ae,cryptarithm_deduce,"%'""`","%'""`",1,0,447
42bde66c,cryptarithm_deduce,>),)),0,0,1358
dbdbbaa3,cryptarithm_deduce,>'',\>,0,0,2346
02b8d816,cryptarithm_deduce,>$$>,>$$>,1,0,427
6beb3a1f,cryptarithm_deduce,??,?),0,0,1419
d29e19a4,cryptarithm_deduce,?|,}&|^,0,0,2989
41554020,cryptarithm_deduce,?:,"-""""",0,0,2472
a0db1e75,cryptarithm_deduce,"-""!",]],0,0,2367
10b71e8a,cryptarithm_deduce,#}:,>},0,0,1449
