id,category,gold,pred,correct,truncated,n_tokens
a897b8bc,bit_manipulation,01111101,01111101,1,0,1546
e5ae7b47,bit_manipulation,00000000,00000000,1,0,2167
3a7dd604,bit_manipulation,01001010,01001010,1,0,1879
124bc762,bit_manipulation,11100010,11100010,1,0,1257
4fb6838e,bit_manipulation,10000101,10000101,1,0,1278
b265a4af,bit_manipulation,00100100,10100100,0,0,3564
9c9eacbd,bit_manipulation,10000100,01001011,0,0,4631
4dbb8138,bit_manipulation,00000000,7,0,1,7680
6abc8047,bit_manipulation,00101001,10101001,0,0,1299
0f7be6a8,bit_manipulation,01000000,01000000,1,0,2356
6a933284,bit_manipulation,00101101,00101101,1,0,1278
7877dd7f,bit_manipulation,11101000,01110100,0,1,7680
0e7a6920,bit_manipulation,00101111,00101111,1,0,1998
9d09171e,bit_manipulation,01011111,01011111,1,0,1646
823be38e,bit_manipulation,01110100,01110100,1,0,1477
dae576ce,bit_manipulation,01000100,01001000,0,0,3385
77f17a8f,bit_manipulation,00011111,0,0,1,7680
34a31822,bit_manipulation,00000000,7,0,1,7680
d85d7964,bit_manipulation,10101010,10101010,1,0,1506
f922f81c,bit_manipulation,00000000,00000000,1,0,1425
be9b0c9b,bit_manipulation,00000000,00000000,1,0,1624
ce862776,bit_manipulation,01000000,01000110,0,0,1603
b80795b4,bit_manipulation,00010000,00010000,1,0,1285
a4970d02,bit_manipulation,00000101,00000101,1,0,1440
4c06f388,bit_manipulation,00100110,00100111,0,0,1933
bf20f12c,bit_manipulation,10110110,011101001,0,1,7680
4005e4c7,bit_manipulation,00000000,0000,0,1,7680
0b56b953,bit_manipulation,11000101,10100100,0,0,4482
bef8b5ec,bit_manipulation,00000010,00000010,1,0,2454
65ab9661,bit_manipulation,00000110,0000000000,0,1,7680
6c01f1a7,bit_manipulation,11100001,11100001,1,0,1245
691c6e38,bit_manipulation,00010000,00011000,0,0,2837
73539baa,bit_manipulation,10010110,10010110,1,0,1466
1fd84ab1,bit_manipulation,11001110,1,0,1,7680
573eaca1,bit_manipulation,01011110,01011110,1,0,1345
5a9d4664,bit_manipulation,11010001,11010001,1,0,1452
2d790c98,bit_manipulation,01111011,01101111,0,0,5272
cb7c2230,bit_manipulation,10100000,10100000,1,0,1440
dd3d9046,bit_manipulation,10100000,01111111,0,0,5331
25705f72,bit_manipulation,11110000,01110,0,1,7680
20c252d7,bit_manipulation,00111111,00111111,1,0,1497
da38592d,bit_manipulation,01001110,01011101,0,0,2035
318ddaa9,bit_manipulation,00000010,10111001,0,0,4822
106aeb25,bit_manipulation,10000001,10000001,1,0,1392
d5220697,bit_manipulation,11111111,11101000,0,0,2365
738f4928,bit_manipulation,10010101,0,0,1,7680
16122fba,bit_manipulation,11000111,0000,0,1,7680
3bdb85cf,bit_manipulation,01000100,01100101,0,0,4215
07d8149a,bit_manipulation,01000000,1,0,1,7680
99ff46bb,bit_manipulation,11100101,11100101,1,0,1492
47998fb4,bit_manipulation,00111100,00111100,1,0,1257
e5b3f73b,bit_manipulation,10111011,10101101,0,0,1992
18ab3864,bit_manipulation,10100000,10100000,1,0,1395
af58b824,bit_manipulation,10110000,10110000,1,0,1375
1d08947a,bit_manipulation,10010100,10010100,1,0,1178
629b09d1,bit_manipulation,00111010,00111010,1,0,1440
a898cbc4,bit_manipulation,01010000,11101011,0,0,4413
d5a28743,bit_manipulation,00000011,6,0,1,7680
b8722d19,bit_manipulation,00100100,0110000,0,1,7680
8b12ff37,bit_manipulation,10000000,10000000,1,0,1403
7cc61ea9,bit_manipulation,10100101,10100101,1,0,3723
6d9ff2a3,bit_manipulation,00110010,00110010,1,0,2633
59c78e51,bit_manipulation,00000000,00000000,1,0,1351
cc861605,bit_manipulation,00000101,00000101,1,0,2372
6bef21ca,bit_manipulation,01111101,01111101,1,0,1227
d01aeeda,bit_manipulation,01101111,01101111,1,0,2154
cf5b4ab4,bit_manipulation,11101100,11101111,0,0,4973
59bee375,bit_manipulation,10010101,001000,0,1,7680
93955d17,bit_manipulation,10000100,4,0,1,7680
4575c0a2,bit_manipulation,10011010,10011010,1,0,1321
9121e150,bit_manipulation,11111001,11111001,1,0,1310
716998e8,bit_manipulation,10010000,10010000,1,0,1330
d8d3648f,bit_manipulation,01100100,01100100,1,0,1358
ab064b6a,bit_manipulation,11111111,11111111,1,0,4759
b9734394,bit_manipulation,00000010,00000000,0,0,3102
6f7a9048,bit_manipulation,00101000,00100101,0,0,1640
d2d230d5,bit_manipulation,01100000,01100000,1,0,1257
0df8306a,bit_manipulation,10000000,10000000,1,0,1497
bf98d26a,bit_manipulation,00101110,00101110,1,0,3550
ba73cc70,bit_manipulation,00011101,00011101,1,0,2536
b91855fd,bit_manipulation,00110000,00110000,1,0,1440
24f44584,bit_manipulation,11111011,01010000,0,1,7680
314d28a0,bit_manipulation,00101000,00101000,1,0,3301
a94232ca,bit_manipulation,10000011,3,0,1,7680
f3cdeb29,bit_manipulation,01101110,2,0,1,7680
