id,category,gold,pred,correct,truncated,n_tokens
a897b8bc,bit_manipulation,01111101,01101101,0,0,3918
e5ae7b47,bit_manipulation,00000000,00000000,1,0,3776
3a7dd604,bit_manipulation,01001010,01001101,0,0,3773
124bc762,bit_manipulation,11100010,11101010,0,0,4428
4fb6838e,bit_manipulation,10000101,01000101,0,0,3760
b265a4af,bit_manipulation,00100100,00101100,0,0,4038
9c9eacbd,bit_manipulation,10000100,10010100,0,0,3683
4dbb8138,bit_manipulation,00000000,00000000,1,0,3576
6abc8047,bit_manipulation,00101001,10101001,0,0,3717
0f7be6a8,bit_manipulation,01000000,01000000,1,0,3668
6a933284,bit_manipulation,00101101,00101110,0,0,3529
7877dd7f,bit_manipulation,11101000,11010001,0,0,3622
0e7a6920,bit_manipulation,00101111,00101111,1,0,4006
9d09171e,bit_manipulation,01011111,01001101,0,0,3738
823be38e,bit_manipulation,01110100,01110100,1,0,3871
dae576ce,bit_manipulation,01000100,01000100,1,0,3788
77f17a8f,bit_manipulation,00011111,00011111,1,0,3847
34a31822,bit_manipulation,00000000,000000000,0,0,3845
d85d7964,bit_manipulation,10101010,10101010,1,0,3957
f922f81c,bit_manipulation,00000000,00000000,1,0,3778
be9b0c9b,bit_manipulation,00000000,00000000,1,0,3880
ce862776,bit_manipulation,01000000,01000000,1,0,3958
b80795b4,bit_manipulation,00010000,00010000,1,0,3550
a4970d02,bit_manipulation,00000101,00000101,1,0,3800
4c06f388,bit_manipulation,00100110,00100010,0,0,4062
bf20f12c,bit_manipulation,10110110,10010010,0,0,3925
4005e4c7,bit_manipulation,00000000,00000000,1,0,3480
0b56b953,bit_manipulation,11000101,11000101,1,0,3629
bef8b5ec,bit_manipulation,00000010,00001000,0,0,3776
65ab9661,bit_manipulation,00000110,000000000,0,0,4057
6c01f1a7,bit_manipulation,11100001,11100100,0,0,3803
691c6e38,bit_manipulation,00010000,00010000,1,0,3764
73539baa,bit_manipulation,10010110,10011010,0,0,3913
1fd84ab1,bit_manipulation,11001110,11001110,1,0,3888
573eaca1,bit_manipulation,01011110,01011110,1,0,3747
5a9d4664,bit_manipulation,11010001,11010001,1,0,3885
2d790c98,bit_manipulation,01111011,01100001,0,0,4222
cb7c2230,bit_manipulation,10100000,10100000,1,0,3749
dd3d9046,bit_manipulation,10100000,10100000,1,0,3735
25705f72,bit_manipulation,11110000,11110000,1,0,3864
20c252d7,bit_manipulation,00111111,00111111,1,0,3754
da38592d,bit_manipulation,01001110,00100111,0,0,3645
318ddaa9,bit_manipulation,00000010,00000000,0,0,4231
106aeb25,bit_manipulation,10000001,10000001,1,0,3771
d5220697,bit_manipulation,11111111,11111111,1,0,3987
738f4928,bit_manipulation,10010101,10010101,1,0,3627
16122fba,bit_manipulation,11000111,11000111,1,0,3926
3bdb85cf,bit_manipulation,01000100,01000100,1,0,3638
07d8149a,bit_manipulation,01000000,01000000,1,0,3549
99ff46bb,bit_manipulation,11100101,11100101,1,0,3988
47998fb4,bit_manipulation,00111100,00111100,1,0,3334
e5b3f73b,bit_manipulation,10111011,01011011,0,0,3837
18ab3864,bit_manipulation,10100000,10100000,1,0,3660
af58b824,bit_manipulation,10110000,10110000,1,0,3686
1d08947a,bit_manipulation,10010100,10010101,0,0,3605
629b09d1,bit_manipulation,00111010,00111010,1,0,3827
a898cbc4,bit_manipulation,01010000,01010000,1,0,3508
d5a28743,bit_manipulation,00000011,00110000,0,0,3760
b8722d19,bit_manipulation,00100100,00000000,0,0,3502
8b12ff37,bit_manipulation,10000000,10000000,1,0,3792
7cc61ea9,bit_manipulation,10100101,10100101,1,0,3825
