id,line_no,counter,type,family,transcription,arithmetic,verdict,note,text
02b8d816,5,,table-scan,,1,,1,,EQ1 `$+%/ chars: 1=` 2=$ 3=+ 4=% 5=/ -> op + ; digits ` $ % / ; RHS `$%/ -> digits ` $ % /
02b8d816,6,,table-scan,,1,,1,,"EQ2 !$*""% chars: 1=! 2=$ 3=* 4="" 5=% -> op * ; digits ! $ "" % ; RHS \\!"" -> digits \ \ ! """
02b8d816,7,,table-scan,,1,,1,,"EQ3 %`-\[ chars: 1=% 2=` 3=- 4=\ 5=[ -> op - ; digits % ` \ [ ; RHS -`> -> leading - is the op glyph (sign), digits ` >"
02b8d816,8,,table-scan,query,1,,1,,Query >$+$> chars: 1=> 2=$ 3=+ 4=$ 5=> -> op + ; digits > $ $ >
02b8d816,10,,union,digit-map,1,,1,,` -> A
02b8d816,11,,union,digit-map,1,,1,,$ -> B
02b8d816,12,,union,digit-map,1,,1,,% -> C
02b8d816,13,,union,digit-map,1,,1,,/ -> D
02b8d816,14,,union,digit-map,1,,1,,! -> E
02b8d816,15,,union,digit-map,1,,1,,""" -> F"
02b8d816,16,,union,digit-map,1,,1,,\ -> G
02b8d816,17,,union,digit-map,1,,1,,[ -> H
02b8d816,18,,union,digit-map,1,,1,,> -> I
02b8d816,20,,union,op-map,1,,1,,+ -> x
02b8d816,21,,union,op-map,1,,1,,* -> y
02b8d816,22,,union,op-map,1,,1,,- -> z
02b8d816,23,,union,disjoint,1,,1,,"Op glyphs: + * - (the literal arithmetic signs) ; digit-position glyphs: ` $ % / ! "" \ [ > ; intersection: none -> disjoint. ok"
02b8d816,25,,routing,query-letters,1,,1,,Query: >$+$> -> IB x BI
02b8d816,27,,routing,header,,,,,Routing check on the query operator x: is each x example RHS just the operand symbols written next to each other?
02b8d816,28,,routing,example,1,,1,,EQ1 RHS `$%/ vs `$%/ (in order) / %/`$ (swapped) -> matches in order.
02b8d816,29,,routing,conclusion,,,1,,Every x example matches in order -> x is concatenation (in order).
02b8d816,30,,routing,apply,1,,1,,Apply to the query: operands >$ and $> -> >$$>.
02b8d816,31,,boxed,,,,,,\boxed{>$$>}
02b8d816,33,,boxed,,1,,,,\boxed{>$$>}
0b0a3643,5,,table-scan,,1,,1,,"EQ1 #/-\@ chars: 1=# 2=/ 3=- 4=\ 5=@ -> op - ; digits # / \ @ ; RHS -@# -> leading - is the op glyph (sign), digits @ #"
0b0a3643,6,,table-scan,,1,,1,,"EQ2 """"+#) chars: 1="" 2="" 3=+ 4=# 5=) -> op + ; digits "" "" # ) ; RHS )/ -> digits ) /"
0b0a3643,7,,table-scan,,1,,1,,"EQ3 '#+/# chars: 1=' 2=# 3=+ 4=/ 5=# -> op + ; digits ' # / # ; RHS %"" -> digits % """
0b0a3643,8,,table-scan,,1,,1,,"EQ4 \)-)@ chars: 1=\ 2=) 3=- 4=) 5=@ -> op - ; digits \ ) ) @ ; RHS -'"" -> leading - is the op glyph (sign), digits ' """
0b0a3643,9,,table-scan,query,1,,1,,Query '/-%) chars: 1=' 2=/ 3=- 4=% 5=) -> op - ; digits ' / % )
0b0a3643,11,,union,digit-map,1,,1,,# -> A
0b0a3643,12,,union,digit-map,1,,1,,/ -> B
0b0a3643,13,,union,digit-map,1,,1,,\ -> C
0b0a3643,14,,union,digit-map,1,,1,,@ -> D
0b0a3643,15,,union,digit-map,1,,1,,""" -> E"
0b0a3643,16,,union,digit-map,1,,1,,) -> F
0b0a3643,17,,union,digit-map,1,,1,,' -> G
0b0a3643,18,,union,digit-map,1,,1,,% -> H
0b0a3643,20,,union,op-map,1,,1,,- -> x
0b0a3643,21,,union,op-map,1,,1,,+ -> y
0b0a3643,22,,union,disjoint,1,,1,,"Op glyphs: - + (the literal arithmetic signs) ; digit-position glyphs: # / \ @ "" ) ' % ; intersection: none -> disjoint. ok"
0b0a3643,24,,routing,query-letters,1,,1,,Query: '/-%) -> GB x HF
0b0a3643,26,,routing,header,,,,,Routing check on the query operator x: is each x example RHS just the operand symbols written next to each other?
0b0a3643,27,,routing,example,1,1,1,,"EQ1 RHS -@# has 3 symbols, the operands have 4 -> not a juxtaposition."
0b0a3643,28,,routing,conclusion,,,,,No single juxtaposition order survives -> x is a value rule.
0b0a3643,30,1,try-counter,,1,,,,s1:
0b0a3643,30,1,policy,literal,1,,,,"s1: the operator glyphs are the literal + - * signs -> each follows its own family: '+' add-family, '*' times-family, '-' minus-family."
0b0a3643,31,2,try-counter,,1,,,,s2:
0b0a3643,31,2,policy,lead0,,,,,s2: no number starts with 0 -> a symbol in a leading position is not 0.
0b0a3643,32,3,try-counter,,1,,,,s3:
0b0a3643,32,3,kill,sign,,,,,"s3: x != |a-b|, a mod b, b mod a: EQ1 result carries the sign glyph but |a-b|, a mod b, b mod a never go negative -> drop."
0b0a3643,33,4,try-counter,,1,,,,s4:
0b0a3643,33,4,kill,sign,0,,1,EQ4 result DOES carry a sign glyph,s4: x != -|a-b|: EQ4 result carries no sign glyph but -|a-b| always writes one -> drop.
0b0a3643,34,5,try-counter,,1,,,,s5:
0b0a3643,34,5,bail,stall-mode,,,1,,s5: forced deduction stalls: both digit orders are still possible (mode undecided).
0b0a3643,35,6,try-counter,,1,,,,s6:
0b0a3643,35,6,bail,nosplit,,,,,s6: no single case split settles it: every binary choice leaves the answer undecided.
0b0a3643,36,7,try-counter,,1,,,,s7:
0b0a3643,36,7,bail,guess-order,,,1,,s7: best guess at the order level: standard order is the more common convention -> assume standard order (guess).
0b0a3643,37,8,try-counter,,1,,,,s8:
0b0a3643,37,8,bail,stall-op,,,1,,s8: forced deduction stalls: query-op-ambiguous.
0b0a3643,38,9,try-counter,,1,,,,s9:
0b0a3643,38,9,bail,guess-rule,1,,1,,s9: best guess at the rule level: a-b is the most common rule still possible -> assume x = a-b (guess).
0b0a3643,39,10,try-counter,,1,,,,s10:
0b0a3643,39,10,bail,stall-digit,,,1,,s10: forced deduction stalls: query-digit-unpinned.
0b0a3643,40,11,try-counter,,1,,,,s11:
0b0a3643,40,11,bail,guess-digit,1,,1,,s11: best guess at the digit level: take the smallest candidate of the most constrained query symbol -> assume B = 1 (guess).
0b0a3643,41,12,try-counter,,1,,,,s12:
0b0a3643,41,12,bail,stall-digit,,,1,,s12: forced deduction stalls: query-digit-unpinned.
0b0a3643,42,13,try-counter,,1,,,,s13:
0b0a3643,42,13,bail,guess-digit,1,,1,,s13: best guess at the digit level: take the smallest candidate of the most constrained query symbol -> assume F = 2 (guess).
0b0a3643,43,14,try-counter,,1,,,,s14:
0b0a3643,43,14,kill,onesenum,1,1,0,1 stated pair(s) actually match the target,"s14: y != a+b: EQ2 ones: a ends E in {3,4,5,6,7,8,9}, b ends 2, result ends B=1; 3+2 ends 5; 4+2 ends 6; 5+2 ends 7; 6+2 ends 8; 7+2 ends 9; 8+2 ends 0; 9+2 ends 1 -> none matches -> drop."
0b0a3643,44,15,try-counter,,1,,,,s15:
0b0a3643,44,15,kill,onesenum,1,1,1,,"s15: y != a+b-1: EQ2 ones: a ends E in {3,4,5,6,7,8,9}, b ends 2, result ends B=1; 3+2 then -1 ends 4; 4+2 then -1 ends 5; 5+2 then -1 ends 6; 6+2 then -1 ends 7; 7+2 then -1 ends 8; 8+2 then -1 ends 9; 9+2 then -1 ends 0 -> none matches -> drop."
0b0a3643,45,16,try-counter,,1,,,,s16:
