id,category,gold,pred,correct,truncated,n_tokens
a897b8bc,bit_manipulation,01111101,01101111,0,0,3997
e5ae7b47,bit_manipulation,00000000,00000000,1,0,3620
3a7dd604,bit_manipulation,01001010,01001010,1,0,3860
124bc762,bit_manipulation,11100010,11100010,1,0,3866
4fb6838e,bit_manipulation,10000101,01010110,0,0,3778
b265a4af,bit_manipulation,00100100,00101100,0,0,4038
9c9eacbd,bit_manipulation,10000100,10011100,0,0,3664
4dbb8138,bit_manipulation,00000000,00000000,1,0,3567
6abc8047,bit_manipulation,00101001,10101001,0,0,3726
0f7be6a8,bit_manipulation,01000000,01000000,1,0,3668
6a933284,bit_manipulation,00101101,00101101,1,0,3497
7877dd7f,bit_manipulation,11101000,11111000,0,0,3728
0e7a6920,bit_manipulation,00101111,00101111,1,0,4006
9d09171e,bit_manipulation,01011111,01001111,0,0,3976
823be38e,bit_manipulation,01110100,01110100,1,0,3822
dae576ce,bit_manipulation,01000100,01000000,0,0,3905
77f17a8f,bit_manipulation,00011111,00011111,1,0,3741
34a31822,bit_manipulation,00000000,000000000,0,0,3845
d85d7964,bit_manipulation,10101010,10101010,1,0,3957
f922f81c,bit_manipulation,00000000,00000000,1,0,3858
be9b0c9b,bit_manipulation,00000000,00000000,1,0,3878
ce862776,bit_manipulation,01000000,01000010,0,0,4029
b80795b4,bit_manipulation,00010000,00010000,1,0,3556
a4970d02,bit_manipulation,00000101,00000101,1,0,3760
4c06f388,bit_manipulation,00100110,00100101,0,0,4076
bf20f12c,bit_manipulation,10110110,10010010,0,0,3964
4005e4c7,bit_manipulation,00000000,00000000,1,0,3480
0b56b953,bit_manipulation,11000101,11000101,1,0,3609
bef8b5ec,bit_manipulation,00000010,01010010,0,0,3821
65ab9661,bit_manipulation,00000110,00000100,0,0,4391
6c01f1a7,bit_manipulation,11100001,11100100,0,0,3806
691c6e38,bit_manipulation,00010000,00000000,0,0,3764
73539baa,bit_manipulation,10010110,10011010,0,0,3960
1fd84ab1,bit_manipulation,11001110,11001111,0,0,3897
573eaca1,bit_manipulation,01011110,01011110,1,0,3747
5a9d4664,bit_manipulation,11010001,11010001,1,0,3885
2d790c98,bit_manipulation,01111011,01100001,0,0,4094
cb7c2230,bit_manipulation,10100000,10100000,1,0,3749
dd3d9046,bit_manipulation,10100000,00000000,0,0,3709
25705f72,bit_manipulation,11110000,11110000,1,0,3909
20c252d7,bit_manipulation,00111111,00111111,1,0,3971
da38592d,bit_manipulation,01001110,00100111,0,0,3732
318ddaa9,bit_manipulation,00000010,00000000,0,0,4006
106aeb25,bit_manipulation,10000001,10000001,1,0,3797
d5220697,bit_manipulation,11111111,11111111,1,0,4007
738f4928,bit_manipulation,10010101,10010101,1,0,3627
16122fba,bit_manipulation,11000111,3,0,1,7680
3bdb85cf,bit_manipulation,01000100,01000100,1,0,3638
07d8149a,bit_manipulation,01000000,01000000,1,0,3560
99ff46bb,bit_manipulation,11100101,11100101,1,0,3988
47998fb4,bit_manipulation,00111100,00111100,1,0,3342
e5b3f73b,bit_manipulation,10111011,01011011,0,0,3874
18ab3864,bit_manipulation,10100000,10100000,1,0,3660
af58b824,bit_manipulation,10110000,10110000,1,0,3686
1d08947a,bit_manipulation,10010100,10010100,1,0,3543
629b09d1,bit_manipulation,00111010,00111010,1,0,3861
a898cbc4,bit_manipulation,01010000,01010000,1,0,3524
d5a28743,bit_manipulation,00000011,00110001,0,0,3745
b8722d19,bit_manipulation,00100100,11110000,0,0,3684
8b12ff37,bit_manipulation,10000000,10000000,1,0,3791
7cc61ea9,bit_manipulation,10100101,10100101,1,0,3825
6d9ff2a3,bit_manipulation,00110010,00110010,1,0,3773
59c78e51,bit_manipulation,00000000,00000000,1,0,4008
cc861605,bit_manipulation,00000101,00000101,1,0,3479
6bef21ca,bit_manipulation,01111101,01111101,1,0,3474
