id,category,gold,pred,correct,truncated,n_tokens
7f21620f,cryptarithm_deduce,")""/{",&]!,0,0,535
ca85809b,cryptarithm_deduce,%!^&,85,0,1,7680
2d89386e,cryptarithm_deduce,:,81,0,1,7680
f2a25cf9,cryptarithm_deduce,:!,1,0,1,7680
d7bcb4a6,cryptarithm_deduce,}{,6,0,1,7680
be7a9eb1,cryptarithm_deduce,[]`',4,0,1,7680
b2a8384e,cryptarithm_deduce,-$,-$],0,0,713
a26065d4,cryptarithm_deduce,<',4,0,1,7680
a12f00f4,cryptarithm_deduce,$:[,1,0,1,7680
162ff61a,cryptarithm_deduce,?!,{^[,0,0,1534
e582df31,cryptarithm_deduce,}@,77,0,1,7680
56ac76c6,cryptarithm_deduce,>&{,^{,0,0,644
23c59364,cryptarithm_deduce,>/,8,0,1,7680
eac0e775,cryptarithm_deduce,<@<(,2,0,1,7680
9f8fda8a,cryptarithm_deduce,\#,0,0,1,7680
ae4aef23,cryptarithm_deduce,%<<,<#`,0,0,628
9cc02bc1,cryptarithm_deduce,:#:',#&]|,0,0,697
d350828e,cryptarithm_deduce,}!||,<|,0,0,693
bb9dd0ad,cryptarithm_deduce,/^//,1,0,1,7680
d23f4166,cryptarithm_deduce,{|)@,23,0,1,7680
434ca68a,cryptarithm_deduce,%&&,25,0,1,7680
f80d2e10,cryptarithm_deduce,{)^],5504,0,1,7680
712fe3e4,cryptarithm_deduce,:#$#,3,0,1,7680
23b0eb54,cryptarithm_deduce,]/:),(?@,0,0,530
d6c03e21,cryptarithm_deduce,&(`#,2,0,1,7680
ff0e37ae,cryptarithm_deduce,"%'""`",?%'|,0,0,536
42bde66c,cryptarithm_deduce,>),^(),0,0,568
dbdbbaa3,cryptarithm_deduce,>'',?#@,0,0,614
02b8d816,cryptarithm_deduce,>$$>,"$??""",0,0,567
6beb3a1f,cryptarithm_deduce,??,2856,0,1,7680
d29e19a4,cryptarithm_deduce,?|,#&},0,0,669
41554020,cryptarithm_deduce,?:,190,0,1,7680
a0db1e75,cryptarithm_deduce,"-""!",9,0,1,7680
10b71e8a,cryptarithm_deduce,#}:,-23,0,1,7680
f06547b1,cryptarithm_deduce,"[%""",7,0,1,7680
191ac967,cryptarithm_deduce,!>,2,0,1,7680
8494aad3,cryptarithm_deduce,"""`#&",3,0,1,7680
923ac2b5,cryptarithm_deduce,#'<@,7,0,1,7680
dc6c0d49,cryptarithm_deduce,:>?#,1,0,1,7680
cd2e20b9,cryptarithm_deduce,||`,5,0,1,7680
cad4b9a7,cryptarithm_deduce,"#""^",7,0,1,7680
9346686a,cryptarithm_deduce,:(,78,0,1,7680
3e5c7d9b,cryptarithm_deduce,-(|,1,0,1,7680
f7d26b8d,cryptarithm_deduce,/@,8,0,1,7680
a88f9fe3,cryptarithm_deduce,<],8,0,1,7680
802c3591,cryptarithm_deduce,"`""""""",5,0,1,7680
f7828fc1,cryptarithm_deduce,"@${""",2,0,1,7680
d7662688,cryptarithm_deduce,]&]],]&]],1,0,137
3b206148,cryptarithm_deduce,!>?,2,0,1,7680
1fb37a08,cryptarithm_deduce,$!:,!<,0,0,641
1d15b7e6,cryptarithm_deduce,|['{,0,0,1,7680
4de466bf,cryptarithm_deduce,^[,98,0,1,7680
df3262bc,cryptarithm_deduce,]/,79,0,1,7680
a1503629,cryptarithm_deduce,@)[[,4,0,1,7680
7a5cfe3e,cryptarithm_deduce,-#>,7,0,1,7680
ba7d54c4,cryptarithm_deduce,>((<,7,0,1,7680
9eaae1f1,cryptarithm_deduce,/\,{&,0,0,536
2ff200fb,cryptarithm_deduce,)^,4,0,1,7680
9fbd6a44,cryptarithm_deduce,::'',>(@@,0,0,716
9081e954,cryptarithm_deduce,}{#,}`@,0,0,678
12734c90,cryptarithm_deduce,]@>[,7,0,1,7680
a610040a,cryptarithm_deduce,:(|:,44,0,1,7680
7cac497a,cryptarithm_deduce,"%""""`",9,0,1,7680
810028f1,cryptarithm_deduce,-&\,-\,0,0,644
a77be9fa,cryptarithm_deduce,"[""",0,0,1,7680
b9f1d959,cryptarithm_deduce,:>,6,0,1,7680
46fcfa9c,cryptarithm_deduce,-@?,$?,0,0,689
35a562bd,cryptarithm_deduce,(%(?,39,0,1,7680
0b0a3643,cryptarithm_deduce,"""""",79,0,1,7680
67995540,cryptarithm_deduce,|%@,7,0,1,7680
c05828eb,cryptarithm_deduce,-!|,5,0,1,7680
9b4cffb2,cryptarithm_deduce,&@<,9,0,1,7680
b391ffe1,cryptarithm_deduce,#!,!/^/,0,0,581
193c21d5,cryptarithm_deduce,}>[[,7,0,1,7680
2c9a8df6,cryptarithm_deduce,-]\,31,0,1,7680
2a5e45a4,cryptarithm_deduce,`@},4,0,1,7680
d8d87a89,cryptarithm_deduce,{,4,0,1,7680
a266aeb5,cryptarithm_deduce,({,181,0,1,7680
60f55291,cryptarithm_deduce,/\|?,"\\]""",0,0,616
610bf536,cryptarithm_deduce,^,-#,0,0,1390
1ab54795,cryptarithm_deduce,%,-\\(,0,0,610
c413ac69,cryptarithm_deduce,"{""]","""""?",0,0,917
d13e92ec,cryptarithm_deduce,?&,?,0,0,673
787a1344,cryptarithm_deduce,-[\,4,0,1,7680
d7aec90d,cryptarithm_deduce,^>\,4,0,1,7680
38c7aca1,cryptarithm_deduce,!!]{,2,0,1,7680
e483e127,cryptarithm_deduce,#''>,]`>:,0,0,511
a644f19d,cryptarithm_deduce,#:,6,0,1,7680
d5602cc5,cryptarithm_deduce,(%,4,0,1,7680
fa714b83,cryptarithm_deduce,/,7,0,1,7680
0d2e94ff,cryptarithm_deduce,}}^,<?,0,0,683
f624f57c,cryptarithm_deduce,[,:/,0,0,596
d0e1010b,cryptarithm_deduce,!&&},2,0,1,7680
d2fe9d04,cryptarithm_deduce,)}),>)<\,0,0,615
9a19fc2d,cryptarithm_deduce,#>[,7,0,1,7680
ae64d5e4,cryptarithm_deduce,[,0,0,1,7680
289602f1,cryptarithm_deduce,?!,3,0,1,7680
6eb85496,cryptarithm_deduce,>^],/::,0,0,635
acf8c11f,cryptarithm_deduce,"""'",8,0,1,7680
684de068,cryptarithm_deduce,"^""",16,0,1,7680
cb7bb0d0,cryptarithm_guess,}!,3,0,1,7680
99b7018f,cryptarithm_guess,>\:,|'$',0,0,135
9eacc9a2,cryptarithm_guess,%?}%,3,0,1,7680
0c30f561,cryptarithm_guess,-],4,0,1,7680
8d9a062b,cryptarithm_guess,^!,7,0,1,7680
4bb8c6cd,cryptarithm_guess,]}\!,2,0,1,7680
f3959455,cryptarithm_guess,:$,8,0,1,7680
dba045b0,cryptarithm_guess,`,}<}`,0,0,161
fa4d703a,cryptarithm_guess,"^^""""",5,0,1,7680
82109e34,cryptarithm_guess,-@>,6,0,1,7680
48817fa0,cryptarithm_guess,##:%,7,0,1,7680
0625f633,cryptarithm_guess,@@//,90,0,1,7680
837a6ae7,cryptarithm_guess,<>\>,92,0,1,7680
9f1015a1,cryptarithm_guess,-$\,2,0,1,7680
6c30f260,cryptarithm_guess,-\(,6,0,1,7680
8f1af066,cryptarithm_guess,-`[,36,0,1,7680
f45dd620,cryptarithm_guess,-??,0,0,1,7680
b1181806,cryptarithm_guess,|>>,$)$,0,0,671
54e8c553,cryptarithm_guess,$$<<,1,0,1,7680
5e989cc5,cryptarithm_guess,$$,{>,0,0,586
