id,category,gold,pred,correct,truncated,n_tokens
7f21620f,cryptarithm_deduce,")""/{",<^(]{,0,0,2196
ca85809b,cryptarithm_deduce,%!^&,\&#\`\#\#,0,0,2360
2d89386e,cryptarithm_deduce,:,<\]\{],0,0,1872
f2a25cf9,cryptarithm_deduce,:!,#:(,0,0,2665
d7bcb4a6,cryptarithm_deduce,}{,|#\%\},0,0,2459
be7a9eb1,cryptarithm_deduce,[]`','%?,0,0,2853
b2a8384e,cryptarithm_deduce,-$,\$],0,0,1102
a26065d4,cryptarithm_deduce,<',<&,0,0,2796
a12f00f4,cryptarithm_deduce,$:[,)$+'`,0,0,2315
162ff61a,cryptarithm_deduce,?!,&<,0,0,2132
e582df31,cryptarithm_deduce,}@,"""'?@@",0,0,2537
56ac76c6,cryptarithm_deduce,>&{,\$^,0,0,1464
23c59364,cryptarithm_deduce,>/,"""|'",0,0,1630
eac0e775,cryptarithm_deduce,<@<(,<(+<@,0,0,1891
9f8fda8a,cryptarithm_deduce,\#,<!<<,0,0,2032
ae4aef23,cryptarithm_deduce,%<<,?|,0,0,4199
9cc02bc1,cryptarithm_deduce,:#:',:#:',1,0,1316
d350828e,cryptarithm_deduce,}!||,"""|",0,0,2366
bb9dd0ad,cryptarithm_deduce,/^//,1,0,0,2290
d23f4166,cryptarithm_deduce,{|)@,*,0,0,2632
