id,category,gold,pred,correct,truncated,n_tokens
7f21620f,cryptarithm_deduce,")""/{",829,0,1,7680
ca85809b,cryptarithm_deduce,%!^&,]&,0,0,1273
2d89386e,cryptarithm_deduce,:,{/,0,0,1182
f2a25cf9,cryptarithm_deduce,:!,){),0,0,1193
d7bcb4a6,cryptarithm_deduce,}{,4590,0,1,7680
be7a9eb1,cryptarithm_deduce,[]`',9,0,1,7680
b2a8384e,cryptarithm_deduce,-$,93,0,1,7680
a26065d4,cryptarithm_deduce,<',16,0,1,7680
a12f00f4,cryptarithm_deduce,$:[,\\,0,0,1898
162ff61a,cryptarithm_deduce,?!,1764,0,1,7680
e582df31,cryptarithm_deduce,}@,57,0,1,7680
56ac76c6,cryptarithm_deduce,>&{,-1,0,1,7680
23c59364,cryptarithm_deduce,>/,)',0,0,1278
eac0e775,cryptarithm_deduce,<@<(,<(<@,0,0,398
9f8fda8a,cryptarithm_deduce,\#,-80,0,1,7680
ae4aef23,cryptarithm_deduce,%<<,#`,0,0,3557
9cc02bc1,cryptarithm_deduce,:#:',:#:',1,0,416
d350828e,cryptarithm_deduce,}!||,80,0,1,7680
bb9dd0ad,cryptarithm_deduce,/^//,1,0,1,7680
d23f4166,cryptarithm_deduce,{|)@,0,0,1,7680
434ca68a,cryptarithm_deduce,%&&,153,0,1,7680
f80d2e10,cryptarithm_deduce,{)^],88,0,1,7680
712fe3e4,cryptarithm_deduce,:#$#,140,0,1,7680
23b0eb54,cryptarithm_deduce,]/:),:)]},0,0,348
d6c03e21,cryptarithm_deduce,&(`#,&(`#,1,0,364
ff0e37ae,cryptarithm_deduce,"%'""`","%'""`",1,0,339
42bde66c,cryptarithm_deduce,>),^^^,0,0,3996
dbdbbaa3,cryptarithm_deduce,>'',1764,0,1,7680
02b8d816,cryptarithm_deduce,>$$>,>$$>,1,0,387
6beb3a1f,cryptarithm_deduce,??,2,0,1,7680
d29e19a4,cryptarithm_deduce,?|,-66,0,1,7680
41554020,cryptarithm_deduce,?:,7008,0,1,7680
a0db1e75,cryptarithm_deduce,"-""!",-1,0,1,7680
10b71e8a,cryptarithm_deduce,#}:,-61,0,1,7680
f06547b1,cryptarithm_deduce,"[%""",)@,0,0,1302
191ac967,cryptarithm_deduce,!>,4,0,1,7680
8494aad3,cryptarithm_deduce,"""`#&",-1,0,1,7680
923ac2b5,cryptarithm_deduce,#'<@,-79,0,1,7680
dc6c0d49,cryptarithm_deduce,:>?#,\(@,0,0,1439
cd2e20b9,cryptarithm_deduce,||`,98,0,1,7680
cad4b9a7,cryptarithm_deduce,"#""^","'""?(",0,0,1172
9346686a,cryptarithm_deduce,:(,"-""(",0,0,2200
3e5c7d9b,cryptarithm_deduce,-(|,161,0,1,7680
f7d26b8d,cryptarithm_deduce,/@,-48,0,1,7680
a88f9fe3,cryptarithm_deduce,<],496,0,1,7680
802c3591,cryptarithm_deduce,"`""""""",-1,0,1,7680
f7828fc1,cryptarithm_deduce,"@${""",7,0,1,7680
d7662688,cryptarithm_deduce,]&]],1,0,1,7680
3b206148,cryptarithm_deduce,!>?,!%,0,0,2142
1fb37a08,cryptarithm_deduce,$!:,67,0,1,7680
1d15b7e6,cryptarithm_deduce,|['{,6727,0,1,7680
4de466bf,cryptarithm_deduce,^[,98,0,1,7680
df3262bc,cryptarithm_deduce,]/,$,0,0,2057
a1503629,cryptarithm_deduce,@)[[,176,0,1,7680
7a5cfe3e,cryptarithm_deduce,-#>,->,0,0,2111
ba7d54c4,cryptarithm_deduce,>((<,")<""",0,0,1185
9eaae1f1,cryptarithm_deduce,/\,-:&,0,0,1070
2ff200fb,cryptarithm_deduce,)^,695,0,1,7680
9fbd6a44,cryptarithm_deduce,::'',8613,0,1,7680
9081e954,cryptarithm_deduce,}{#,5,0,1,7680
12734c90,cryptarithm_deduce,]@>[,5,0,1,7680
a610040a,cryptarithm_deduce,:(|:,10,0,1,7680
7cac497a,cryptarithm_deduce,"%""""`",7,0,1,7680
810028f1,cryptarithm_deduce,-&\,-70,0,1,7680
a77be9fa,cryptarithm_deduce,"[""",""">",0,0,1195
b9f1d959,cryptarithm_deduce,:>,?(>,0,0,2074
46fcfa9c,cryptarithm_deduce,-@?,-1,0,1,7680
35a562bd,cryptarithm_deduce,(%(?,-1,0,1,7680
0b0a3643,cryptarithm_deduce,"""""",62,0,1,7680
67995540,cryptarithm_deduce,|%@,13,0,1,7680
c05828eb,cryptarithm_deduce,-!|,-?(,0,0,1205
9b4cffb2,cryptarithm_deduce,&@<,8185,0,1,7680
b391ffe1,cryptarithm_deduce,#!,8,0,1,7680
193c21d5,cryptarithm_deduce,}>[[,"]|""",0,0,4613
2c9a8df6,cryptarithm_deduce,-]\,-^,0,0,1503
2a5e45a4,cryptarithm_deduce,`@},1,0,1,7680
d8d87a89,cryptarithm_deduce,{,16,0,1,7680
a266aeb5,cryptarithm_deduce,({,?[,0,0,2063
60f55291,cryptarithm_deduce,/\|?,"[||""",0,0,2003
610bf536,cryptarithm_deduce,^,182,0,1,7680
1ab54795,cryptarithm_deduce,%,4,0,1,7680
c413ac69,cryptarithm_deduce,"{""]",477,0,1,7680
d13e92ec,cryptarithm_deduce,?&,-[@,0,0,3125
787a1344,cryptarithm_deduce,-[\,-97,0,1,7680
d7aec90d,cryptarithm_deduce,^>\,\^&,0,0,1744
38c7aca1,cryptarithm_deduce,!!]{,-1,0,1,7680
e483e127,cryptarithm_deduce,#''>,89,0,1,7680
